ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [usecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[30615] python3.8,"   99,    1,    1","  128,    1,    1","3,424",3.01,313.32,1.44,"30,624",1.14,128,99,3.54,0,0,0.08,26.35,0,712,"1,181",0,"2,462","3,217",43,0,0,137,0,0.27,0,137,0
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[30615] python3.8,"   98,    1,    1","  128,    1,    1","170,111",126.62,"35,215.85",2.23,"5,330,024",1.34,128,98,16.75,7.71,60.88,3.21,25.36,"141,583","25,088","170,654","241,209","100,352","321,345","28,130","220,093","22,346","28,418","13,535",1.12,0.53,"28,418","13,535"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[30615] python3.8,"    1,    1,    1","   64,    1,    1","3,117",2.88,18.59,0.05,65,1.08,64,1,0.01,0.00,0.01,0.00,0.01,1,1,276,1,1,430,102,0,2,54,0,0.12,0,54,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[30615] python3.8,"   64,    1,    1","  512,    1,    1","186,915",141.31,"42,983.29",0.32,"922,880",1.32,512,64,1.94,6.43,45.50,3.22,22.78,"50,400","25,344","79,532","200,928","100,608","204,627","106,045","100,556","100,384","110,917","95,693",3.97,3.43,"110,917","95,693"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[30615] python3.8," 3136,    1,    1","   64,    1,    1","19,391",17.44,"4,088.21",0.63,"175,616",1.11,64,"3,136",3.81,3.21,184.13,3.21,184.13,"25,088","25,088","50,696","100,352","100,352","101,211","100,620",0,"100,352","100,788","11,490",34.75,3.96,"100,788","11,490"
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[30615] python3.8,"  784,    1,    1","  256,    1,    1","46,677",37.38,"10,344.56",2.49,"1,752,320",1.25,256,784,13.83,3.58,95.84,2.41,64.44,"40,498","18,816","61,085","112,198","75,264","93,678","103,491","17,258","100,352","102,579","1,369",14.72,0.20,"102,579","1,369"
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[30615] python3.8,"    1,    1,    1","   64,    1,    1","3,147",2.85,21.81,0.04,65,1.10,64,1,0.01,0.00,0.01,0.00,0.01,1,1,356,1,1,430,198,0,2,406,0,0.87,0,406,0
7,bn_fw_tr_1C11_singleread,"void cudnn::detail::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::detail::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[30615] python3.8,"   64,    1,    1","  512,    1,    1","16,819",14.02,"3,490.10",1.97,"468,288",1.20,512,64,10.45,0.81,57.86,0.81,57.86,"6,528","6,528","13,832","25,344","25,344","26,493","26,334",240,"25,120","25,818","16,907",10.27,6.73,"25,818","16,907"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[30615] python3.8,"  784,    1,    1","   64,    1,    1","8,063",5.95,"1,244.54",0.52,"43,904",1.35,64,784,2.29,0.80,134.88,0.80,134.88,"6,272","6,272","13,256","25,088","25,088","25,973","25,190",0,"25,088","25,156",0,20.82,0,"25,156",0
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[30615] python3.8,"   25,    1,    1","  128,    1,    1","2,989",3.71,241.46,0.47,"7,680",0.81,128,25,1.03,0,0,0.02,5.32,0,176,475,0,618,"1,771",1,0,0,57,0,0.13,0,57,0
10,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[30615] python3.8,"   25,    2,    1","  128,    1,    1","50,299",38.02,"9,504.78",1.91,"1,234,400",1.32,128,50,12.43,2.27,59.76,1.61,42.24,"32,785","12,544","47,457","71,015","50,176","96,226","26,506","45,068","26,506","27,666",0,3.68,0,"27,666",0
11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[30615] python3.8,"    1,    1,    1","   64,    1,    1","3,150",3.81,18.65,0.05,65,0.83,64,1,0.01,0.00,0.01,0.00,0.01,1,1,204,1,1,"1,406",430,0,2,6,0,0.01,0,6,0
12,bn_fw_tr_1C11_singleread,"void cudnn::detail::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::detail::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[30615] python3.8,"  128,    1,    1","  512,    1,    1","30,652",25.25,"6,698.65",2.06,"936,576",1.21,512,128,11.40,1.62,64.24,1.62,64.24,"13,056","13,056","26,686","50,688","50,688","56,433","52,842",480,"50,240","50,346",0,11.00,0,"50,346",0
13,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[30615] python3.8," 1568,    1,    1","   64,    1,    1","11,300",10.43,"2,143.79",0.60,"87,808",1.08,64,"1,568",3.27,1.61,153.91,1.61,153.91,"12,544","12,544","25,704","50,176","50,176","51,595","51,152",0,"50,176","50,196",0,29.71,0,"50,196",0
14,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[30615] python3.8,"    1,   32,    1","   32,    4,    1","5,245",4.35,697.04,0.95,"45,056",1.20,128,32,3.23,0.16,37.65,0.26,60.24,"2,204","2,048","4,779","5,120","8,192","10,197","4,972","1,116","4,608","5,342","1,550",6.82,1.98,"5,342","1,550"
15,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[30615] python3.8,"    1,    7,    4","  256,    1,    1","109,573",81.57,"22,053.21",1.72,"2,575,328",1.34,256,28,13.34,10.96,134.38,0.40,4.92,"110,592","8,512","123,800","342,528","12,544","308,559","58,373","294,544","58,368","61,982",0,3.79,0,"61,982",0
16,CatArrayBatchedCopy,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",[30615] python3.8,"   32,    2,    1","  512,    1,    1","19,915",17.28,"4,053.44",1.93,"530,816",1.15,512,64,9.84,1.20,69.69,1.20,69.69,"9,408","9,408","19,980","37,632","37,632","38,728","38,903",0,"37,632","39,015",0,13.10,0,"39,015",0
17,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[30615] python3.8,"    1,    1,    1","   64,    1,    1","3,156",2.82,18.99,0.05,65,1.12,64,1,0.01,0.00,0.01,0.00,0.01,1,1,248,1,1,431,102,0,2,30,0,0.06,0,30,0
18,bn_fw_tr_1C11_singleread,"void cudnn::detail::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::detail::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[30615] python3.8,"   96,    1,    1","  512,    1,    1","25,954",18.27,"5,105.21",2.02,"702,432",1.42,512,96,10.12,1.22,66.58,1.22,66.58,"9,792","9,792","21,044","38,016","38,016","39,316","39,108",360,"37,680","38,508",0,9.94,0,"38,508",0
19,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[30615] python3.8," 1176,    1,    1","   64,    1,    1","9,453",8.45,"1,772.44",0.55,"65,856",1.12,64,"1,176",2.93,1.20,142.55,1.20,142.55,"9,408","9,408","19,644","37,632","37,632","38,569","38,084",0,"37,632","38,122",0,26.98,0,"38,122",0
20,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[30615] python3.8,"   25,    1,    1","  128,    1,    1","4,049",3.07,241.03,0.47,"7,680",1.32,128,25,0.76,0,0,0.02,6.43,0,176,459,0,617,"1,218",137,0,0,161,0,0.27,0,161,0
21,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[30615] python3.8,"   25,    2,    1","  128,    1,    1","67,036",49.70,"12,624.10",2.01,"1,726,400",1.35,128,50,13.82,3.48,69.94,1.61,32.31,"51,631","12,544","72,812","108,667","50,176","121,265","39,562","69,702","39,562","41,354",0,4.13,0,"41,354",0
22,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[30615] python3.8,"    1,    1,    1","   64,    1,    1","3,196",2.78,18.43,0.05,65,1.15,64,1,0.01,0.00,0.01,0.00,0.01,1,1,156,1,1,430,30,0,2,200,0,0.42,0,200,0
23,bn_fw_tr_1C11_singleread,"void cudnn::detail::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::detail::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[30615] python3.8,"  128,    1,    1","  512,    1,    1","30,733",23.65,"6,698.43",2.06,"936,576",1.30,512,128,11.38,1.62,68.59,1.62,68.59,"13,056","13,056","28,002","50,688","50,688","52,181","50,874",480,"50,240","53,500",0,11.66,0,"53,500",0
24,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[30615] python3.8," 1568,    1,    1","   64,    1,    1","12,492",8.99,"2,163.76",0.60,"87,808",1.39,64,"1,568",2.96,1.61,178.56,1.61,178.56,"12,544","12,544","25,640","50,176","50,176","51,051","50,676",0,"50,176","51,492","38,607",27.55,20.66,"51,492","38,607"
25,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[30615] python3.8,"    1,   32,    1","   32,    4,    1","5,078",4.32,722.54,0.92,"45,056",1.17,128,32,3.34,0.16,37.93,0.26,60.68,"2,140","2,048","4,750","5,120","8,192","10,139","4,722","1,113","4,608","4,772",0,6.32,0,"4,772",0
