ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[32425] python3.8,"   99,    1,    1","  128,    1,    1","4,367",0.00,202.68,2.22,"30,624",1.18,128,99,2.67,0,0,0.08,21.84,0,765,"1,060",0,"2,544","3,140",289,0,0,89,0,0.14,0,89,0
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[32425] python3.8,"  784,    1,    1","  128,    1,    1","2,934,820",2.15,"258,157.78",2.43,"42,640,192",1.36,128,784,7.76,70.97,32.95,25.69,11.93,"1,261,237","200,704","1,500,086","2,219,302","802,816","2,875,145","216,334","2,068,694","154,170","283,358","795,637",0.65,1.82,"283,358","795,637"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32425] python3.8,"    1,    1,    1","   64,    1,    1","3,222",0.00,18.72,0.05,65,1.09,64,1,0.01,0.00,0.01,0.00,0.01,1,1,157,1,1,445,"1,856",0,2,6,0,0.01,0,6,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[32425] python3.8,"   64,    1,    1","  512,    1,    1","870,942",0.64,"73,823.22",1.16,"5,830,272",1.36,512,64,2.79,51.39,80.07,25.70,40.04,"401,596","200,960","612,929","1,605,820","803,072","983,684","1,465,293","179,924","1,425,060","1,462,425","805,230",11.25,6.19,"1,462,425","805,230"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[32425] python3.8,"25088,    1,    1","   64,    1,    1","381,741",0.28,"33,781.06",0.61,"1,404,928",1.35,64,"25,088",1.55,25.69,91.12,25.69,91.12,"200,704","200,704","402,061","802,816","802,816","804,025","812,736",0,"802,816","816,748","714,485",14.33,12.54,"816,748","714,485"
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[32425] python3.8," 6272,    1,    1","  256,    1,    1","928,018",0.68,"81,613.59",2.53,"14,018,560",1.36,256,"6,272",5.55,28.78,42.12,19.27,28.20,"323,996","150,528","502,036","899,467","602,112","740,892","837,377","137,575","802,816","805,233","524,273",5.81,3.78,"805,233","524,273"
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32425] python3.8,"    1,    1,    1","   64,    1,    1","3,151",0.00,18.90,0.05,65,1.11,64,1,0.01,0.00,0.01,0.00,0.01,1,1,209,1,1,445,6,0,2,6,0,0.01,0,6,0
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[32425] python3.8,"   64,    1,    1","  512,    1,    1","210,888",0.16,"17,637.47",1.38,"1,653,888",1.35,512,64,3.13,12.85,82.26,6.43,41.16,"100,542","50,432","154,698","401,598","200,960","402,986","202,589","200,876","200,736","207,101","197,428",6.58,6.27,"207,101","197,428"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[32425] python3.8," 6272,    1,    1","   64,    1,    1","92,892",0.07,"8,017.94",0.64,"351,232",1.30,64,"6,272",1.59,6.42,89.96,6.42,89.96,"50,176","50,176","100,952","200,704","200,704","202,053","203,244",0,"200,704","204,700","111,964",14.76,8.07,"204,700","111,964"
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[32425] python3.8,"   25,    1,    1","  128,    1,    1","3,168",0.00,102.46,1.10,"7,680",1.10,128,25,0.97,0,0,0.02,6.86,0,175,431,0,616,"1,150",753,0,0,27,0,0.06,0,27,0
