ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[31454] python3.8,"   99,    1,    1","  128,    1,    1","4,409",0.00,203.16,2.22,"30,624",1.20,128,99,2.65,0,0,0.08,22.02,0,775,"1,087",0,"2,548","3,174",137,0,0,91,0,0.14,0,91,0
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[31454] python3.8," 1568,    1,    1","   64,    1,    1","924,429",0.68,"81,302.66",2.13,"11,785,088",1.36,64,"1,568",5.02,18.44,27.16,25.69,37.85,"185,568","200,704","405,701","578,234","802,816","1,079,764","352,330","273,157","303,518","329,094","715,024",2.38,5.18,"329,094","715,024"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[31454] python3.8,"    1,    1,    1","   64,    1,    1","3,231",0.00,18.72,0.05,65,1.10,64,1,0.01,0.00,0.01,0.00,0.01,1,1,177,1,1,429,14,0,2,116,0,0.24,0,116,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[31454] python3.8,"   32,    1,    1","  512,    1,    1","628,063",0.46,"51,006.32",1.65,"5,719,360",1.35,512,32,3.82,51.38,110.54,25.69,55.28,"401,504","200,832","609,122","1,605,728","802,944","804,766","1,640,644",545,"1,604,960","1,626,108","722,845",17.34,7.71,"1,626,108","722,845"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[31454] python3.8,"25088,    1,    1","   64,    1,    1","387,340",0.29,"33,947.50",0.70,"1,605,632",1.36,64,"25,088",1.91,25.69,90.12,25.69,90.12,"200,704","200,704","405,243","802,816","802,816","804,197","825,634",0,"802,816","816,261","713,942",14.11,12.35,"816,261","713,942"
5,spatialDepthwiseConvolutionUpdateOutput,"void spatialDepthwiseConvolutionUpdateOutput<float, float, unsigned int, (int)3>(THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)1, int, DefaultPtrTraits>, bool, T3, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",[31454] python3.8," 6272,    1,    1"," 1024,    1,    1","3,407,964",2.50,"280,129.82",2.10,"39,940,096",1.36,"1,024","6,272",4.31,31.65,12.65,25.69,10.27,"464,283","200,704","741,359","989,056","802,816","1,082,184","973,477","278,351","802,852","959,171","719,453",1.89,1.41,"959,171","719,453"
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[31454] python3.8,"    1,    1,    1","   64,    1,    1","3,230",0.00,18.94,0.05,65,1.13,64,1,0.01,0.00,0.01,0.00,0.01,1,1,175,1,1,438,6,0,2,118,12,0.25,0.02,118,12
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[31454] python3.8,"   32,    1,    1","  512,    1,    1","621,724",0.46,"51,024.38",1.65,"5,719,360",1.31,512,32,3.95,51.38,110.95,25.69,55.48,"401,504","200,832","616,187","1,605,728","802,944","804,555","1,625,502",423,"1,605,154","1,620,536","723,007",17.27,7.70,"1,620,536","723,007"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[31454] python3.8,"25088,    1,    1","   64,    1,    1","388,111",0.29,"33,619.85",0.70,"1,605,632",1.35,64,"25,088",1.90,25.69,89.66,25.69,89.66,"200,704","200,704","415,184","802,816","802,816","804,038","814,400",0,"802,816","810,174","714,590",13.98,12.33,"810,174","714,590"
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[31454] python3.8,"   99,    1,    1","  128,    1,    1","4,358",0.00,202.63,2.22,"30,624",1.17,128,99,2.68,0,0,0.08,21.91,0,762,"1,070",0,"2,532","3,154",1,0,0,459,0,0.70,0,459,0
