ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [usecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[25499] python3.8,"   99,    1,    1","  128,    1,    1","3,102",2.85,533.54,0.84,"30,624",1.09,128,99,3.96,0,0,0.08,28.08,0,734,"1,230",0,"2,553","3,341",145,0,0,97,0,0.21,0,97,0
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[25499] python3.8,"  784,    1,    1","   64,    1,    1","93,337",69.98,"43,742.91",1.98,"5,892,544",1.32,64,784,25.08,8.62,123.20,12.85,183.54,"84,037","100,352","186,524","265,439","401,408","523,691","155,008","117,077","152,994","154,124","312,704",11.05,22.43,"154,124","312,704"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[25499] python3.8,"    1,    1,    1","   64,    1,    1","3,133",2.94,18.93,0.05,65,1.06,64,1,0.01,0.00,0.01,0.00,0.01,1,1,157,1,1,446,22,0,2,102,0,0.22,0,102,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[25499] python3.8,"   32,    1,    1","  512,    1,    1","153,333",120.86,"69,351.03",0.62,"2,915,136",1.27,512,32,7.95,25.69,212.59,12.85,106.31,"200,832","100,480","305,326","802,944","401,536","403,396","829,156",120,"802,832","804,336","320,519",35.14,14.00,"804,336","320,519"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[25499] python3.8,"12544,    1,    1","   64,    1,    1","65,797",46.94,"28,399.03",0.42,"802,816",1.40,64,"12,544",5.63,12.85,273.63,12.85,273.63,"100,352","100,352","202,850","401,408","401,408","402,759","402,646",0,"401,408","404,236","384,477",41.13,39.12,"404,236","384,477"
5,spatialDepthwiseConvolutionUpdateOutput,"void spatialDepthwiseConvolutionUpdateOutput<float, float, unsigned int, (int)3>(THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)1, int, DefaultPtrTraits>, bool, T3, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",[25499] python3.8," 3136,    1,    1"," 1024,    1,    1","312,930",231.68,"144,610.21",2.03,"19,970,048",1.35,"1,024","3,136",23.56,15.96,68.89,12.85,55.44,"236,007","100,352","347,977","498,689","401,408","540,587","420,899","137,165","401,444","406,367","394,964",8.70,8.45,"406,367","394,964"
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[25499] python3.8,"    1,    1,    1","   64,    1,    1","3,180",2.88,20.59,0.05,65,1.10,64,1,0.01,0.00,0.01,0.00,0.01,1,1,157,1,1,430,202,0,2,54,0,0.11,0,54,0
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[25499] python3.8,"   32,    1,    1","  512,    1,    1","155,739",118.08,"69,142.78",0.62,"2,915,136",1.32,512,32,7.83,25.69,217.60,12.85,108.82,"200,832","100,480","302,826","802,944","401,536","403,062","803,968",120,"802,832","814,994","321,585",35.05,13.83,"814,994","321,585"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[25499] python3.8,"12544,    1,    1","   64,    1,    1","59,559",49.86,"28,500.43",0.41,"802,816",1.19,64,"12,544",6.23,12.85,257.64,12.85,257.64,"100,352","100,352","202,135","401,408","401,408","402,743","401,502",0,"401,408","407,900","312,461",45.87,35.13,"407,900","312,461"
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[25499] python3.8,"   99,    1,    1","  128,    1,    1","3,096",2.82,538.63,0.84,"30,624",1.10,128,99,3.96,0,0,0.08,28.39,0,731,"1,230",0,"2,550","3,928",17,0,0,25,0,0.05,0,25,0
