ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[4603] python3.8,"   99,    1,    1","  128,    1,    1","3,108",0,537.37,0.84,"30,624",1.13,128,99,3.95
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[4603] python3.8," 3136,    1,    1","  128,    1,    1","2,098,407",1.54,"1,038,540.21",2.42,"170,560,768",1.36,128,"3,136",43.67
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[4603] python3.8,"    1,    1,    1","   64,    1,    1","3,221",0,18.87,0.05,65,1.08,64,1,0.01
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[4603] python3.8,"   64,    1,    1","  512,    1,    1","770,228",0.57,"378,198.51",0.88,"22,634,112",1.34,512,64,12.41
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[4603] python3.8,"100352,    1,    1","   64,    1,    1","508,336",0.38,"251,864.87",0.33,"5,619,712",1.33,64,"100,352",4.66
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[4603] python3.8,"25088,    1,    1","  256,    1,    1","725,268",0.53,"358,525.16",2.3,"56,074,240",1.36,256,"25,088",28.54
6,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[4603] python3.8,"   25,    1,    1","  128,    1,    1","3,017",0,360.94,0.31,"7,680",1.15,128,25,1.02
7,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[4603] python3.8,"  784,    1,    1","  128,    1,    1","259,389",0.19,"123,672.90",2.3,"19,355,392",1.35,128,784,38
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[4603] python3.8,"    1,    1,    1","   64,    1,    1","3,152",0,18.79,0.05,65,1.12,64,1,0.01
9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[4603] python3.8,"   64,    1,    1","  512,    1,    1","197,148",0.15,"93,323.91",0.93,"5,928,576",1.29,512,64,12.44
