ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[11520] python3.8,"   99,    1,    1","  128,    1,    1","4,315",0.00,208.38,2.16,"30,624",1.30,128,99,2.71,0,0,0.08,24.41,0,755,"1,289",0,"2,529","3,709",473,0,0,209,0,0.32,0,209,0
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[11520] python3.8,"  784,    1,    1","  128,    1,    1","2,935,703",2.15,"258,112.79",2.43,"42,640,192",1.36,128,784,7.76,71.06,32.99,25.69,11.93,"1,260,133","200,704","1,515,739","2,216,951","802,816","2,872,437","264,962","2,070,358","154,382","234,270","715,533",0.53,1.63,"234,270","715,533"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[11520] python3.8,"    1,    1,    1","   64,    1,    1","4,138",0.00,19.28,0.05,65,1.42,64,1,0.01,0.00,0.01,0.00,0.01,1,1,178,1,1,"1,002",318,0,2,214,4,0.35,0.01,214,4
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[11520] python3.8,"   64,    1,    1","  512,    1,    1","888,269",0.64,"74,021.97",1.16,"5,830,272",1.39,512,64,2.74,51.39,80.21,25.70,40.11,"401,596","200,960","603,279","1,605,820","803,072","1,008,789","1,443,339","199,264","1,404,484","1,511,077","721,843",11.39,5.44,"1,511,077","721,843"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[11520] python3.8,"25088,    1,    1","   64,    1,    1","383,537",0.29,"33,651.32",0.61,"1,404,928",1.34,64,"25,088",1.54,25.69,90.03,25.69,90.03,"200,704","200,704","411,479","802,816","802,816","804,096","816,228",0,"802,816","813,044","783,174",14.20,13.68,"813,044","783,174"
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[11520] python3.8," 6272,    1,    1","  256,    1,    1","928,880",0.68,"81,636.35",2.53,"14,018,560",1.36,256,"6,272",5.55,28.77,42.08,19.27,28.18,"324,102","150,528","503,965","899,787","602,112","741,047","844,307","137,435","802,816","834,113","525,833",6.01,3.79,"834,113","525,833"
6,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[11520] python3.8,"   25,    1,    1","  128,    1,    1","3,203",0.00,103.87,1.09,"7,680",0.99,128,25,0.96,0,0,0.02,6.09,0,174,478,0,615,"1,168",153,0,0,559,0,1.17,0,559,0
7,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[11520] python3.8,"  196,    1,    1","  128,    1,    1","351,132",0.26,"30,450.79",2.34,"4,838,848",1.35,128,196,6.98,9.20,35.48,6.42,24.78,"134,751","50,176","192,547","287,705","200,704","288,366","204,106","86,422","201,608","202,488","113,792",3.86,2.17,"202,488","113,792"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[11520] python3.8,"    1,    1,    1","   64,    1,    1","3,143",0.00,19.59,0.05,65,1.13,64,1,0.01,0.00,0.01,0.00,0.01,1,1,175,1,1,430,6,0,2,6,0,0.01,0,6,0
9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[11520] python3.8,"   64,    1,    1","  512,    1,    1","212,329",0.16,"17,619.66",1.38,"1,653,888",1.36,512,64,3.11,12.85,82.45,6.43,41.26,"100,540","50,432","154,005","401,596","200,960","402,965","209,931","200,880","200,736","201,217","119,662",6.35,3.77,"201,217","119,662"
