ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [usecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[22852] python3.8,"   99,    1,    1","  128,    1,    1","3,093",2.85,767.32,0.59,"30,624",1.08,128,99,4.00,0,0,0.08,27.99,0,721,"1,258",0,"2,520","3,917",457,0,0,9,0,0.02,0,9,0
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[22852] python3.8,"  784,    1,    1","  128,    1,    1","375,397",276.61,"267,885.99",2.34,"42,640,192",1.35,128,784,61.05,66.93,241.98,25.69,92.88,"1,207,124","200,704","1,415,715","2,091,395","802,816","2,747,978","163,320","1,944,386","154,214","155,150","713,927",2.77,12.73,"155,150","713,927"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[22852] python3.8,"    1,    1,    1","   64,    1,    1","3,248",2.85,18.99,0.05,65,1.13,64,1,0.01,0.00,0.01,0.00,0.01,1,1,180,1,1,438,14,0,2,126,30,0.26,0.06,126,30
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[22852] python3.8,"   64,    1,    1","  512,    1,    1","216,344",162.85,"142,122.44",0.60,"5,830,272",1.33,512,64,11.25,51.39,315.56,25.70,157.81,"401,664","200,960","614,605","1,605,888","803,072","807,482","1,609,076",240,"1,605,664","1,644,296","723,955",50.36,22.17,"1,644,296","723,955"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[22852] python3.8,"25088,    1,    1","   64,    1,    1","122,514",96.70,"88,509.21",0.23,"1,404,928",1.26,64,"25,088",4.83,25.69,265.66,25.69,265.66,"200,704","200,704","406,457","802,816","802,816","806,573","807,324",0,"802,816","806,702","713,867",44.10,39.02,"806,702","713,867"
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[22852] python3.8," 6272,    1,    1","  256,    1,    1","130,035",100.19,"91,487.38",2.25,"14,018,560",1.29,256,"6,272",39.77,28.80,287.45,19.27,192.31,"323,712","150,528","479,101","900,151","602,112","745,537","805,205","139,668","802,816","805,489","520,332",41.05,26.52,"805,489","520,332"
6,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[22852] python3.8,"   25,    1,    1","  128,    1,    1","3,072",2.75,365.12,0.31,"7,680",1.12,128,25,1.00,0,0,0.02,7.15,0,174,469,0,615,"1,220",105,0,0,"1,575",0,3.44,0,"1,575",0
7,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[22852] python3.8,"  196,    1,    1","  128,    1,    1","54,510",40.67,"35,784.82",1.99,"4,838,848",1.32,128,196,45.52,8.37,205.83,6.42,157.91,"108,534","50,176","160,433","261,407","200,704","262,711","201,682","59,796","201,608","202,016","111,838",24.78,13.72,"202,016","111,838"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[22852] python3.8,"    1,    1,    1","   64,    1,    1","3,179",2.82,18.93,0.05,65,1.13,64,1,0.01,0.00,0.01,0.00,0.01,1,1,216,1,1,446,6,0,2,208,0,0.44,0,208,0
9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[22852] python3.8,"   64,    1,    1","  512,    1,    1","54,126",43.14,"35,498.41",0.69,"1,653,888",1.25,512,64,12.27,12.84,297.74,6.43,149.08,"100,507","50,432","153,312","401,260","200,960","204,663","400,346","1,588","399,528","401,777","194,102",49.74,24.03,"401,777","194,102"
