ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [usecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21224] python3.8,"  393,    1,    1","  128,    1,    1","3,904",3.39,934.41,1.93,"122,352",1.15,128,393,12.09
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[21224] python3.8,"  392,    2,    1","   64,    1,    1","88,965",65.66,"41,641.66",2.08,"5,892,544",1.35,64,784,26.25
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[21224] python3.8,"12544,    1,    1","   64,    1,    1","73,272",56.96,"35,666.29",2.50,"6,071,296",1.28,64,"12,544",30.70
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21224] python3.8,"12544,    1,    1","   64,    1,    1","59,536",48.16,"28,600.79",0.36,"702,464",1.23,64,"12,544",4.98
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[21224] python3.8,"    2,   16,    1","   32,    4,    1","4,376",3.94,"1,037.19",0.64,"45,056",1.11,128,32,3.88
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[21224] python3.8,"    2,   28,   14","  256,    1,    1","733,402",539.78,"349,955.01",1.61,"38,390,912",1.35,256,784,28.52
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[21224] python3.8,"12544,    1,    1","   64,    1,    1","74,153",55.97,"35,417.04",2.52,"6,071,296",1.32,64,"12,544",30.37
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21224] python3.8,"12544,    1,    1","   64,    1,    1","59,401",48.19,"28,454.16",0.36,"702,464",1.23,64,"12,544",4.99
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[21224] python3.8," 3136,    1,    1","  256,    1,    1","75,267",57.25,"36,125.94",2.11,"5,193,216",1.31,256,"3,136",25.51
9,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[21224] python3.8,"    4,   16,    1","   32,    4,    1","5,056",4.64,"1,480.75",0.89,"90,112",1.09,128,64,6.72
