ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [usecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[1915] python3.8,"  393,    1,    1","  128,    1,    1","5,041",4.06,"1,094.09",1.64,"122,352",1.24,128,393,9.57,0,0,0.32,79.65,0,"3,050","4,514",0,"9,998","11,950",481,0,0,"2,263","4,260",3.01,5.66,"2,263","4,260"
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[1915] python3.8,"  392,    2,    1","   64,    1,    1","63,374",47.94,"43,220.37",2.00,"5,892,544",1.31,64,784,37.07,5.04,105.04,12.85,267.96,"60,234","100,352","164,513","157,544","401,408","520,517","45,898","115,587","45,912","46,316","311,843",4.88,32.87,"46,316","311,843"
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[1915] python3.8,"12544,    1,    1","   64,    1,    1","64,325",52.22,"48,056.13",1.86,"6,071,296",1.22,64,"12,544",35.10,12.86,246.21,12.85,245.96,"100,752","100,352","204,840","401,808","401,408","408,361","406,656",396,"401,416","405,608","312,738",42.24,32.57,"405,608","312,738"
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[1915] python3.8,"12544,    1,    1","   64,    1,    1","58,585",48.38,"46,005.93",0.22,"702,464",1.21,64,"12,544",5.06,12.85,265.48,12.85,265.48,"100,352","100,352","204,638","401,408","401,408","403,571","406,508",0,"401,408","403,532","388,830",46.16,44.48,"403,532","388,830"
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[1915] python3.8,"    2,   16,    1","   32,    4,    1","4,355",3.78,"1,028.71",0.64,"45,056",1.15,128,32,3.90,0.16,43.39,0.26,69.42,"2,137","2,048","5,246","5,120","8,192","10,583","4,700","1,042","4,608","4,684",0,7.20,0,"4,684",0
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[1915] python3.8,"    2,   28,   14","  256,    1,    1","502,663",368.86,"358,623.91",1.57,"38,390,912",1.36,256,784,41.68,164.25,445.28,12.85,34.82,"1,728,000","200,704","1,943,491","5,132,800","401,408","5,082,906","718,659","4,677,673","716,538","738,701","343,512",9.84,4.58,"738,701","343,512"
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[1915] python3.8,"12544,    1,    1","   64,    1,    1","64,068",52.13,"44,575.21",2.00,"6,071,296",1.22,64,"12,544",35.19,12.86,246.66,12.85,246.41,"100,752","100,352","204,689","401,808","401,408","409,552","401,856",397,"401,416","405,616","312,860",42.36,32.68,"405,616","312,860"
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[1915] python3.8,"12544,    1,    1","   64,    1,    1","58,300",48.06,"40,909.34",0.25,"702,464",1.21,64,"12,544",5.08,12.85,267.25,12.85,267.25,"100,352","100,352","203,987","401,408","401,408","403,094","404,004",0,"401,408","405,866","311,391",46.62,35.77,"405,866","311,391"
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[1915] python3.8," 3136,    1,    1","  256,    1,    1","57,367",54.02,"40,299.29",1.90,"5,193,216",1.05,256,"3,136",33.60,13.71,253.73,9.63,178.35,"106,769","75,264","184,794","427,076","301,056","327,980","403,883","26,512","401,408","401,939","217,585",46.95,25.42,"401,939","217,585"
9,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[1915] python3.8,"    4,   16,    1","   32,    4,    1","5,228",5.66,"1,838.93",0.72,"90,112",0.92,128,64,6.51,0.33,57.85,0.52,92.56,"4,643","4,096","10,030","10,240","16,384","20,305","9,276","2,458","9,216","9,428",0,12.11,0,"9,428",0
