ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[18892] python3.8,"  393,    1,    1","  128,    1,    1","3,532",0.00,"1,060.38",1.70,"122,352",1.12,128,393,13.66
1,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[18892] python3.8,"12544,    1,    1","  128,    1,    1","1,650,980",1.21,"1,204,110.51",2.33,"191,070,208",1.35,128,"12,544",49.48
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[18892] python3.8,"401408,    1,    1","   64,    1,    1","2,069,251",1.53,"1,507,859.46",2.43,"248,872,960",1.35,64,"401,408",44.40
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[18892] python3.8,"401408,    1,    1","   64,    1,    1","2,050,641",1.51,"1,503,762.90",0.22,"22,478,848",1.36,64,"401,408",4.62
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[18892] python3.8,"    2,   16,    1","   32,    4,    1","4,368",0.01,"1,044.51",0.63,"45,056",0.86,128,32,3.89
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[18892] python3.8,"   64,   28,   14","  256,    1,    1","15,797,698",11.58,"11,489,408.85",1.57,"1,228,509,184",1.36,256,"25,088",42.31
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[18892] python3.8,"401408,    1,    1","   64,    1,    1","2,065,386",1.51,"1,506,304.54",2.43,"248,872,960",1.36,64,"401,408",44.48
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[18892] python3.8,"401408,    1,    1","   64,    1,    1","2,047,427",1.51,"1,507,090.15",0.22,"22,478,848",1.36,64,"401,408",4.62
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[18892] python3.8,"100352,    1,    1","  256,    1,    1","1,828,365",1.33,"1,329,378.43",1.84,"166,182,912",1.37,256,"100,352",33.54
9,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[18892] python3.8,"   98,   64,    1","  256,    1,    1","1,009,184",0.77,"737,445.12",0.63,"31,410,176",1.31,256,"6,272",14.54
10,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[18892] python3.8,"    2,   16,    1","   32,    8,    1","6,454",0.01,"1,826.97",0.63,"78,336",1.15,256,32,7.62
11,volta_sgemm_128x128_nn,volta_sgemm_128x128_nn,[18892] python3.8,"  196,    1,   36","  256,    1,    1","2,971,926",2.18,"2,171,768.78",2.12,"312,721,920",1.36,256,"7,056",58.56
12,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[18892] python3.8,"   98,  128,    1","  256,    1,    1","1,636,614",1.20,"1,196,773.56",0.80,"64,727,040",1.36,256,"12,544",14.59
13,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[18892] python3.8,"200704,    1,    1","   64,    1,    1","1,031,909",0.76,"750,584.22",2.44,"124,436,480",1.35,64,"200,704",44.51
14,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[18892] python3.8,"200704,    1,    1","   64,    1,    1","1,022,693",0.76,"749,092.21",0.22,"11,239,424",1.35,64,"200,704",4.63
15,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[18892] python3.8,"   98,  128,    1","  256,    1,    1","2,096,416",1.54,"1,537,672.79",0.60,"62,820,352",1.36,256,"12,544",13.99
16,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[18892] python3.8,"    4,   16,    1","   32,    8,    1","8,441",0.01,"3,734.53",0.62,"156,672",1.19,256,64,11.69
17,volta_sgemm_128x128_nn,volta_sgemm_128x128_nn,[18892] python3.8,"  196,    1,   36","  256,    1,    1","5,343,050",3.93,"3,896,717.88",2.17,"575,995,392",1.35,256,"7,056",64.56
18,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[18892] python3.8,"   98,  128,    1","  256,    1,    1","1,632,478",1.21,"1,199,794.97",0.79,"64,727,040",1.35,256,"12,544",14.62
19,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[18892] python3.8,"200704,    1,    1","   64,    1,    1","1,036,870",0.76,"753,764.49",2.43,"124,436,480",1.36,64,"200,704",44.37
20,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[18892] python3.8,"200704,    1,    1","   64,    1,    1","1,024,612",0.75,"747,251.90",0.22,"11,239,424",1.36,64,"200,704",4.62
21,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[18892] python3.8,"50176,    1,    1","  256,    1,    1","900,183",0.67,"659,315.16",1.85,"83,091,456",1.35,256,"50,176",34.08
22,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[18892] python3.8,"   32,  128,    1","  256,    1,    1","502,471",0.37,"370,082.40",0.73,"18,393,088",1.36,256,"4,096",16.64
23,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[18892] python3.8,"    4,   32,    1","   32,    8,    1","14,997",0.01,"5,797.71",0.79,"313,344",1.43,256,128,13.22
24,volta_sgemm_128x128_nn,volta_sgemm_128x128_nn,[18892] python3.8,"   49,    2,   36","  256,    1,    1","2,686,268",1.97,"1,954,118.99",2.17,"287,997,696",1.36,256,"3,528",64.14
25,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[18892] python3.8,"   32,  256,    1","  256,    1,    1","827,030",0.61,"601,315.56",0.97,"39,562,240",1.34,256,"8,192",17.66
26,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[18892] python3.8,"100352,    1,    1","   64,    1,    1","518,200",0.38,"377,857.41",2.42,"62,218,240",1.35,64,"100,352",44.45
27,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[18892] python3.8,"100352,    1,    1","   64,    1,    1","509,034",0.38,"372,459.06",0.22,"5,619,712",1.35,64,"100,352",4.65
28,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[18892] python3.8,"   32,  256,    1","  256,    1,    1","1,023,379",0.75,"753,892.04",0.72,"36,786,176",1.36,256,"8,192",16.34
29,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[18892] python3.8,"    8,   32,    1","   32,    8,    1","31,639",0.03,"18,397.75",0.50,"626,688",1.04,256,256,12.49
30,volta_sgemm_128x128_nn,volta_sgemm_128x128_nn,[18892] python3.8,"   49,    2,   36","  256,    1,    1","5,051,344",3.71,"3,683,942.85",2.20,"551,271,168",1.36,256,"3,528",67.92
31,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[18892] python3.8,"   32,  256,    1","  256,    1,    1","816,368",0.60,"593,560.74",0.98,"39,562,240",1.35,256,"8,192",17.90
32,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[18892] python3.8,"100352,    1,    1","   64,    1,    1","515,169",0.38,"378,041.29",2.42,"62,218,240",1.34,64,"100,352",44.69
33,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[18892] python3.8,"100352,    1,    1","   64,    1,    1","517,716",0.38,"370,344.47",0.22,"5,619,712",1.37,64,"100,352",4.57
34,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[18892] python3.8,"   32,  256,    1","  256,    1,    1","1,031,880",0.75,"746,521.97",0.72,"36,786,176",1.36,256,"8,192",16.19
35,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[18892] python3.8,"    8,   32,    1","   32,    8,    1","32,434",0.03,"18,145.01",0.51,"626,688",1.17,256,256,12.19
36,volta_sgemm_128x128_nn,volta_sgemm_128x128_nn,[18892] python3.8,"   49,    2,   36","  256,    1,    1","5,051,444",3.72,"3,681,969.63",2.20,"551,271,168",1.35,256,"3,528",67.97
