ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Gbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[29901] python3.8,"  393,    1,    1","  128,    1,    1","3,904",0.00,933.57,1.93,"122,352",1.15,128,393,12.09,0,0,0.32,94.64,0,"3,083","4,012",0,"10,038","11,110",289,0,0,9,0,0.02,0,9,0
1,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[29901] python3.8," 3136,    1,    1","  128,    1,    1","614,632",0.45,"303,880.12",2.31,"47,767,552",1.36,128,"3,136",33.11,0.03,69.03,102.76,227.75,"424,554","802,816","1,237,012","970,707","3,211,264","3,973,046","245,106","760,899","226,024","241,454","3,122,559",2.63,34.03,"241,454","3,122,559"
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29901] python3.8,"100352,    1,    1","   64,    1,    1","670,323",0.49,"333,006.26",2.75,"62,218,240",1.36,64,"100,352",34.22,0.10,208.48,102.76,208.33,"804,993","802,816","1,619,504","3,213,441","3,211,264","3,215,427","3,240,832","2,145","3,211,328","3,241,958","3,122,945",32.40,31.21,"3,241,958","3,122,945"
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29901] python3.8,"100352,    1,    1","   64,    1,    1","511,675",0.38,"252,286.51",0.33,"5,619,712",1.35,64,"100,352",4.62,0.10,272.60,102.76,272.60,"802,816","802,816","1,611,611","3,211,264","3,211,264","3,213,069","3,230,732",0,"3,211,264","3,235,292","3,122,521",42.35,40.88,"3,235,292","3,122,521"
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[29901] python3.8,"    2,   16,    1","   32,    4,    1","4,452",0.00,"1,088.76",0.61,"45,056",1.18,128,32,3.82,0.00,43.39,0.26,69.42,"2,088","2,048","5,038","5,120","8,192","10,408","4,744","1,004","4,608","4,716",0,7.09,0,"4,716",0
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[29901] python3.8,"   16,   28,   14","  256,    1,    1","5,765,342",4.21,"2,847,327.59",1.59,"307,127,296",1.37,256,"6,272",28.99,1.31,312.28,102.76,24.42,"13,824,000","1,605,632","15,512,624","41,062,400","3,211,264","38,067,339","9,473,741","34,854,081","9,197,886","9,378,459","3,171,409",10.90,3.68,"9,378,459","3,171,409"
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29901] python3.8,"100352,    1,    1","   64,    1,    1","671,173",0.49,"333,045.24",2.75,"62,218,240",1.36,64,"100,352",34.22,0.10,208.80,102.76,208.66,"804,994","802,816","1,619,500","3,213,442","3,211,264","3,215,419","3,235,334","2,145","3,211,328","3,237,122","3,193,974",32.31,31.87,"3,237,122","3,193,974"
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29901] python3.8,"100352,    1,    1","   64,    1,    1","510,195",0.38,"253,016.62",0.33,"5,619,712",1.35,64,"100,352",4.64,0.10,271.89,102.76,271.89,"802,816","802,816","1,615,715","3,211,264","3,211,264","3,213,133","3,236,922",0,"3,211,264","3,231,780","3,122,478",42.43,40.99,"3,231,780","3,122,478"
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[29901] python3.8,"25088,    1,    1","  256,    1,    1","595,312",0.44,"296,179.62",2.06,"41,545,728",1.35,256,"25,088",25.72,0.11,249.18,77.07,175.08,"856,620","602,112","1,471,521","3,426,480","2,408,448","2,625,090","3,232,939","219,316","3,211,264","3,229,595","2,326,854",36.34,26.18,"3,229,595","2,326,854"
9,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[29901] python3.8,"    4,   16,    1","   32,    4,    1","5,099",0.00,"1,503.28",0.88,"90,112",1.20,128,64,6.67,0.00,77.58,0.52,124.12,"4,634","4,096","9,756","10,240","16,384","20,415","9,580","2,661","9,216","9,284",0,12.21,0,"9,284",0
10,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[29901] python3.8,"   32,   14,    7","  256,    1,    1","2,794,602",2.05,"1,376,407.54",1.64,"153,563,648",1.36,256,"3,136",29.90,0.65,315.93,51.38,25.12,"6,885,376","802,816","7,736,727","20,193,280","1,605,632","20,291,855","2,243,405","18,684,245","2,198,080","2,468,531","1,636,008",5.92,3.92,"2,468,531","1,636,008"
11,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29901] python3.8,"50176,    1,    1","   64,    1,    1","336,792",0.25,"166,869.28",2.74,"31,109,120",1.35,64,"50,176",34.08,0.05,207.20,51.38,206.65,"405,732","401,408","814,701","1,609,956","1,605,632","1,616,794","1,620,456","4,326","1,605,676","1,620,584","1,516,845",32.23,30.17,"1,620,584","1,516,845"
12,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29901] python3.8,"50176,    1,    1","   64,    1,    1","252,853",0.19,"124,889.43",0.33,"2,809,856",1.34,64,"50,176",4.68,0.05,272.19,51.38,272.19,"401,408","401,408","805,915","1,605,632","1,605,632","1,607,383","1,650,240",0,"1,605,632","1,615,380","1,516,942",42.79,40.18,"1,615,380","1,516,942"
13,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[29901] python3.8,"    4,   32,    1","   32,    4,    1","7,178",0.01,"2,239.88",1.18,"180,224",1.23,128,128,9.50,0.00,112.55,1.05,180.04,"11,388","8,192","20,569","20,485","32,768","40,292","18,580","6,487","18,432","18,732",0,17.42,0,"18,732",0
