ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[26738] python3.8,"   99,    1,    1","  128,    1,    1","6,085",0.00,202.07,2.23,"30,624",1.64,128,99,1.92
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[26738] python3.8," 3136,    1,    1","  128,    1,    1","11,667,534",8.56,"1,028,596.29",2.44,"170,560,768",1.36,128,"3,136",7.82
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[26738] python3.8,"    1,    1,    1","   64,    1,    1","3,127",0.00,18.79,0.05,65,1.24,64,1,0.01
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[26738] python3.8,"   64,    1,    1","  512,    1,    1","2,285,045",1.68,"194,676.88",1.71,"22,634,112",1.36,512,64,4.17
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[26738] python3.8,"100352,    1,    1","   64,    1,    1","1,541,392",1.13,"135,325.26",0.61,"5,619,712",1.36,64,"100,352",1.53
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[26738] python3.8,"25088,    1,    1","  256,    1,    1","3,719,783",2.72,"327,104.15",2.52,"56,074,240",1.36,256,"25,088",5.55
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[26738] python3.8,"    1,    1,    1","   64,    1,    1","3,153",0.00,18.90,0.05,65,1.31,64,1,0.01
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[26738] python3.8,"   64,    1,    1","  512,    1,    1","596,025",0.44,"50,834.43",1.72,"5,928,576",1.35,512,64,4.10
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[26738] python3.8,"25088,    1,    1","   64,    1,    1","389,088",0.29,"33,453.66",0.62,"1,404,928",1.36,64,"25,088",1.52
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[26738] python3.8,"   25,    1,    1","  128,    1,    1","3,198",0.00,105.63,1.07,"7,680",1.10,128,25,0.96
10,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[26738] python3.8,"  784,    2,    1","  128,    1,    1","2,698,649",1.98,"237,924.84",2.39,"38,710,784",1.36,128,"1,568",7.27
11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[26738] python3.8,"    1,    1,    1","   64,    1,    1","3,266",0.00,19.09,0.05,65,1.32,64,1,0.01
12,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[26738] python3.8,"  128,    1,    1","  512,    1,    1","1,171,431",0.86,"100,644.91",1.73,"11,857,152",1.36,512,128,4.17
13,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[26738] python3.8,"50176,    1,    1","   64,    1,    1","767,984",0.56,"67,349.69",0.61,"2,809,856",1.36,64,"50,176",1.54
14,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)1, (bool)1>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[26738] python3.8,"  256,    1,    1","  512,    1,    1","580,746",0.42,"50,626.13",1.33,"4,571,136",1.38,512,256,4.53
15,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[26738] python3.8,"  256,    1,    1","  512,    1,    1","660,110",0.49,"56,231.06",1.24,"4,722,688",1.34,512,256,3.94
16,volta_gcgemm_32x32_nt,volta_gcgemm_32x32_nt,[26738] python3.8,"    1,    1,  544","   64,    1,    1","909,771",0.67,"79,685.15",1.74,"9,448,192",1.36,64,544,5.69
17,fft2d_c2r_32x32,"void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)",[26738] python3.8,"   64,    1,    1","  512,    1,    1","175,314",0.13,"14,593.40",1.18,"1,169,408",1.35,512,64,3.58
18,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[26738] python3.8,"  256,    1,    1","  512,    1,    1","653,751",0.49,"58,630.74",1.18,"4,722,688",1.35,512,256,3.98
19,volta_gcgemm_32x32_nt,volta_gcgemm_32x32_nt,[26738] python3.8,"    1,    1,  544","   64,    1,    1","910,049",0.67,"79,728.01",1.74,"9,448,192",1.36,64,544,5.68
20,fft2d_c2r_32x32,"void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)",[26738] python3.8,"   64,    1,    1","  512,    1,    1","172,788",0.13,"14,429.16",1.19,"1,169,408",1.34,512,64,3.63
21,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[26738] python3.8,"  256,    1,    1","  512,    1,    1","663,400",0.49,"58,230.40",1.19,"4,706,304",1.34,512,256,3.91
22,volta_gcgemm_32x32_nt,volta_gcgemm_32x32_nt,[26738] python3.8,"    1,    1,  544","   64,    1,    1","910,013",0.67,"79,666.88",1.74,"9,448,192",1.36,64,544,5.69
23,fft2d_c2r_32x32,"void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)",[26738] python3.8,"   64,    1,    1","  512,    1,    1","167,278",0.12,"13,847.79",1.21,"1,142,784",1.36,512,64,3.67
24,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[26738] python3.8,"  256,    1,    1","  512,    1,    1","667,126",0.50,"57,386.99",1.21,"4,706,304",1.33,512,256,3.89
25,volta_gcgemm_32x32_nt,volta_gcgemm_32x32_nt,[26738] python3.8,"    1,    1,  544","   64,    1,    1","909,890",0.67,"79,669.51",1.74,"9,448,192",1.36,64,544,5.69
26,fft2d_c2r_32x32,"void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)",[26738] python3.8,"   64,    1,    1","  512,    1,    1","166,947",0.12,"13,812.78",1.22,"1,142,784",1.35,512,64,3.68
27,CatArrayBatchedCopy,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",[26738] python3.8,"   12,    2,    1","  512,    1,    1","1,330,962",0.98,"116,481.13",1.90,"15,075,456",1.35,512,24,4.17
28,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[26738] python3.8,"    1,    1,    1","   64,    1,    1","3,159",0.00,19.03,0.05,65,1.32,64,1,0.01
29,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[26738] python3.8,"   96,    1,    1","  512,    1,    1","865,797",0.64,"75,792.96",1.73,"8,892,864",1.35,512,96,4.24
30,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[26738] python3.8,"37632,    1,    1","   64,    1,    1","582,451",0.42,"50,555.71",0.61,"2,107,392",1.38,64,"37,632",1.52
31,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[26738] python3.8,"   25,    1,    1","  128,    1,    1","3,202",0.00,110.82,1.02,"7,680",0.96,128,25,0.96
32,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[26738] python3.8,"  784,    2,    1","  128,    1,    1","3,750,185",2.75,"330,588.40",2.41,"54,139,904",1.36,128,"1,568",7.75
33,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[26738] python3.8,"    1,    1,    1","   64,    1,    1","3,124",0.00,18.37,0.05,65,1.28,64,1,0.01
34,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[26738] python3.8,"  128,    1,    1","  512,    1,    1","1,161,130",0.86,"100,447.99",1.74,"11,857,152",1.35,512,128,4.21
35,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[26738] python3.8,"50176,    1,    1","   64,    1,    1","768,643",0.57,"67,422.57",0.61,"2,809,856",1.35,64,"50,176",1.54
