ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[14187] python3.8,"   99,    1,    1","  128,    1,    1","3,346",0.00,313.60,1.44,"30,624",1.12,128,99,3.63
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[14187] python3.8," 1568,    1,    1","   64,    1,    1","355,079",0.26,"82,474.01",2.10,"11,785,088",1.35,64,"1,568",13.10
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[14187] python3.8,"    1,    1,    1","   64,    1,    1","5,302",0.00,18.40,0.05,65,1.88,64,1,0.00
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[14187] python3.8,"   32,    1,    1","  512,    1,    1","235,841",0.18,"54,053.87",1.56,"5,719,360",1.31,512,32,10.20
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[14187] python3.8,"25088,    1,    1","   64,    1,    1","153,110",0.11,"35,451.65",0.67,"1,605,632",1.33,64,"25,088",4.83
5,spatialDepthwiseConvolutionUpdateOutput,"void spatialDepthwiseConvolutionUpdateOutput<float, float, unsigned int, (int)3>(THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)1, int, DefaultPtrTraits>, bool, T3, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",[14187] python3.8," 6272,    1,    1"," 1024,    1,    1","1,295,495",0.95,"284,355.06",2.07,"39,940,096",1.36,"1,024","6,272",11.35
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[14187] python3.8,"    1,    1,    1","   64,    1,    1","3,123",0.00,18.46,0.05,65,0.82,64,1,0.01
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[14187] python3.8,"   32,    1,    1","  512,    1,    1","234,923",0.18,"53,738.04",1.57,"5,719,360",1.32,512,32,10.25
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[14187] python3.8,"25088,    1,    1","   64,    1,    1","153,835",0.12,"35,333.16",0.67,"1,605,632",1.32,64,"25,088",4.81
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[14187] python3.8,"   99,    1,    1","  128,    1,    1","3,330",0.00,314.69,1.43,"30,624",1.13,128,99,3.65
10,volta_scudnn_128x32_relu_interior_nn_v1,volta_scudnn_128x32_relu_interior_nn_v1,[14187] python3.8," 1568,    1,    1","   64,    1,    1","359,650",0.27,"83,411.82",2.18,"12,377,792",1.35,64,"1,568",14.16
11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[14187] python3.8,"    1,    1,    1","   64,    1,    1","3,279",0.00,19.09,0.05,65,1.15,64,1,0.01
12,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[14187] python3.8,"   16,    1,    1","  512,    1,    1","175,252",0.13,"39,448.90",1.07,"2,859,680",1.32,512,16,6.86
13,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[14187] python3.8,"   99,    1,    1","  128,    1,    1","3,335",0.00,316.26,1.42,"30,624",1.10,128,99,3.64
14,volta_scudnn_128x32_relu_interior_nn_v1,volta_scudnn_128x32_relu_interior_nn_v1,[14187] python3.8," 1568,    3,    1","   64,    1,    1","762,269",0.56,"178,046.32",2.02,"24,489,024",1.36,64,"4,704",14.04
15,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[14187] python3.8,"    1,    1,    1","   64,    1,    1","3,153",0.00,19.97,0.05,65,1.12,64,1,0.01
