ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[13487] python3.8,"   99,    1,    1","  128,    1,    1","3,120",0,746.49,0.6,"30,624",0.77,128,99,3.96
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[13487] python3.8," 3136,    1,    1","  128,    1,    1","1,441,152",1.06,"1,042,704.60",2.41,"170,560,768",1.35,128,"3,136",63.58
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[13487] python3.8,"    1,    1,    1","   64,    1,    1","3,123",0,18.68,0.05,65,1.08,64,1,0.01
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[13487] python3.8,"   64,    1,    1","  512,    1,    1","801,903",0.58,"546,616.18",0.61,"22,634,112",1.39,512,64,11.91
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[13487] python3.8,"100352,    1,    1","   64,    1,    1","507,771",0.38,"369,947.13",0.22,"5,619,712",1.35,64,"100,352",4.66
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[13487] python3.8,"25088,    1,    1","  256,    1,    1","508,329",0.38,"370,496.72",2.23,"56,074,240",1.35,256,"25,088",40.77
6,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[13487] python3.8,"   25,    1,    1","  128,    1,    1","3,018",0,356.19,0.32,"7,680",1.12,128,25,1.02
7,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[13487] python3.8,"  784,    1,    1","  128,    1,    1","178,825",0.13,"126,075.26",2.26,"19,355,392",1.34,128,784,55.3
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[13487] python3.8,"    1,    1,    1","   64,    1,    1","3,217",0,19.06,0.05,65,1.14,64,1,0.01
9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[13487] python3.8,"   64,    1,    1","  512,    1,    1","199,193",0.15,"133,642.60",0.65,"5,928,576",1.34,512,64,12.31
10,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[13487] python3.8,"25088,    1,    1","   64,    1,    1","122,557",0.1,"87,836.35",0.24,"1,404,928",1.28,64,"25,088",4.83
11,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)1, (bool)1>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[13487] python3.8,"  256,    1,    1","  512,    1,    1","86,271",0.06,"58,888.99",1.14,"4,571,136",1.35,512,256,30.6
12,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[13487] python3.8,"  128,    1,    1","  512,    1,    1","75,917",0.06,"43,189.71",0.8,"2,361,344",1.25,512,128,17.26
13,volta_gcgemm_32x32_nt,volta_gcgemm_32x32_nt,[13487] python3.8,"    2,    1,  544","   64,    1,    1","126,963",0.09,"90,373.21",1.64,"10,105,344",1.33,64,"1,088",41.87
14,fft2d_c2r_32x32,"void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)",[13487] python3.8,"  128,    1,    1","  512,    1,    1","88,752",0.06,"50,875.12",0.68,"2,338,816",1.38,512,128,14.19
15,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[13487] python3.8,"  128,    1,    1","  512,    1,    1","77,360",0.06,"43,812.07",0.79,"2,361,344",1.37,512,128,16.93
16,volta_gcgemm_32x32_nt,volta_gcgemm_32x32_nt,[13487] python3.8,"    2,    1,  544","   64,    1,    1","126,932",0.09,"90,410.04",1.64,"10,105,344",1.33,64,"1,088",41.88
17,fft2d_c2r_32x32,"void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)",[13487] python3.8,"  128,    1,    1","  512,    1,    1","83,494",0.06,"51,785.53",0.66,"2,338,816",1.28,512,128,15.1
18,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[13487] python3.8,"  128,    1,    1","  512,    1,    1","77,607",0.06,"43,754.29",0.79,"2,353,152",1.38,512,128,16.79
19,volta_gcgemm_32x32_nt,volta_gcgemm_32x32_nt,[13487] python3.8,"    2,    1,  544","   64,    1,    1","127,224",0.09,"90,402.78",1.64,"10,105,344",1.34,64,"1,088",41.76
20,fft2d_c2r_32x32,"void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)",[13487] python3.8,"  128,    1,    1","  512,    1,    1","77,365",0.06,"46,826.12",0.72,"2,285,568",1.27,512,128,15.99
21,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[13487] python3.8,"  128,    1,    1","  512,    1,    1","73,266",0.06,"43,594.40",0.79,"2,353,152",1.28,512,128,17.79
22,volta_gcgemm_32x32_nt,volta_gcgemm_32x32_nt,[13487] python3.8,"    2,    1,  544","   64,    1,    1","127,480",0.09,"90,364.03",1.64,"10,105,344",1.33,64,"1,088",41.71
23,fft2d_c2r_32x32,"void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)",[13487] python3.8,"  128,    1,    1","  512,    1,    1","79,545",0.06,"47,325",0.71,"2,285,568",1.32,512,128,15.54
24,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[13487] python3.8,"    1,    1,    1","   64,    1,    1","5,056",0,19.26,0.05,65,1.82,64,1,0.01
25,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[13487] python3.8,"   64,    1,    1","  512,    1,    1","206,407",0.15,"134,515.60",0.65,"5,928,576",1.37,512,64,11.88
