ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[9453] python3.8,"  393,    1,    1","  128,    1,    1","5,089",0.00,721.56,2.49,"122,352",1.20,128,393,9.07
1,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[9453] python3.8,"12544,    1,    1","  128,    1,    1","5,098,054",3.74,"1,196,183.19",2.35,"191,070,208",1.36,128,"12,544",15.95
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[9453] python3.8,"401408,    1,    1","   64,    1,    1","5,651,155",4.14,"1,327,341.18",2.76,"248,872,960",1.36,64,"401,408",16.22
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[9453] python3.8,"401408,    1,    1","   64,    1,    1","2,433,010",1.78,"569,790.46",0.58,"22,478,848",1.37,64,"401,408",3.89
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[9453] python3.8,"    2,   16,    1","   32,    4,    1","5,153",0.01,737.06,0.90,"45,056",0.91,128,32,3.29
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[9453] python3.8,"   64,   28,   14","  256,    1,    1","48,591,062",35.54,"11,287,740.94",1.60,"1,228,509,184",1.37,256,"25,088",13.73
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[9453] python3.8,"401408,    1,    1","   64,    1,    1","5,651,765",4.14,"1,327,431.07",2.76,"248,872,960",1.36,64,"401,408",16.22
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[9453] python3.8,"401408,    1,    1","   64,    1,    1","2,429,255",1.78,"568,534.51",0.58,"22,478,848",1.36,64,"401,408",3.90
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[9453] python3.8,"100352,    1,    1","  256,    1,    1","4,722,199",3.47,"1,108,948.82",2.20,"166,182,912",1.36,256,"100,352",12.96
9,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[9453] python3.8,"   98,   64,    1","  256,    1,    1","1,837,391",1.36,"432,405.66",1.07,"31,410,176",1.35,256,"6,272",7.97
10,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[9453] python3.8,"    2,   16,    1","   32,    8,    1","10,665",0.01,"1,552.54",0.74,"78,336",1.31,256,32,4.60
11,volta_sgemm_128x128_nn,volta_sgemm_128x128_nn,[9453] python3.8,"  196,    1,   36","  256,    1,    1","9,116,002",6.66,"2,148,175",2.14,"312,721,920",1.37,256,"7,056",19.04
12,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[9453] python3.8,"   98,  128,    1","  256,    1,    1","1,969,836",1.45,"461,664",2.06,"64,727,040",1.36,256,"12,544",12.11
13,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[9453] python3.8,"200704,    1,    1","   64,    1,    1","2,828,017",2.07,"663,665.15",2.76,"124,436,480",1.36,64,"200,704",16.21
