ID,Issues Detected,Function Name,Demangled Name,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
98,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","4,144",2.53,0.19,0.61,16
64,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","2,792",2.5,0.29,0.63,16
83,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","2,781",3.2,0.29,0.81,16
68,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","2,765",2.56,0.29,0.63,16
0,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),NVIDIA GeForce RTX 2080 Ti,"   99,    1,    1","  128,    1,    1","2,763",2.59,4.46,3.65,16
15,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,618",2.46,1.18,1.2,16
113,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","2,618",2.53,0.3,1.63,16
130,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),NVIDIA GeForce RTX 2080 Ti,"    2,    1,    1","  128,    1,    1","2,610",2.53,0.09,0.46,16
55,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,609",3.17,1.18,1.32,16
19,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,603",2.46,1.18,1.79,16
49,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,602",3.2,1.18,1.17,16
34,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,601",2.46,1.18,1.16,16
5,12,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",NVIDIA GeForce RTX 2080 Ti,"  784,    1,    1","  256,    1,    1","15,154",13.6,43.62,44.02,26
251,13,reduce_kernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, (int)4>>(T3)",NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","   32,   16,    1","6,626",7.78,23.95,14.4,32
54,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","11,109",10.56,6.73,67.13,18
24,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","11,105",13.41,6.72,67.39,18
4,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","10,767",13.57,6.95,69.42,18
39,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","10,723",12.58,6.97,70.5,18
88,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",NVIDIA GeForce RTX 2080 Ti," 1568,    1,    1","   64,    1,    1","9,379",6.18,3.96,38.66,18
118,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",NVIDIA GeForce RTX 2080 Ti," 1568,    1,    1","   64,    1,    1","6,933",7.87,5.36,48.49,18
