ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[12772] python3.8,NVIDIA GeForce RTX 2080 Ti,"   99,    1,    1","  128,    1,    1","5,139",2.59,2.4,1.97,16
6,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[12772] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,617",3.49,1.18,1.15,16
16,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[12772] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,616",2.46,1.18,1.77,16
20,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[12772] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,728",2.46,1.13,1.87,16
26,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[12772] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,615",2.46,1.18,1.21,16
36,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[12772] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,615",2.46,1.18,1.22,16
42,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[12772] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,597",2.46,1.19,1.19,16
52,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[12772] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,600",2.5,1.19,1.27,16
58,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[12772] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,615",2.46,1.18,1.78,16
63,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[12772] python3.8,NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","2,585",3.23,0.31,0.75,16
