ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"   99,    1,    1","  128,    1,    1","2,753",2.89 ,4.48,3.12,16
6,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,590",2.31 ,1.19,1.2,16
16,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,687",3.01 ,1.15,1.1,16
20,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,602",2.34 ,1.18,1.2,16
26,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,597",3.01 ,1.19,2.82,16
36,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,599",2.40 ,1.19,1.18,16
42,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","3,763",2.31 ,0.82,0.89,16
52,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,601",2.34 ,1.18,1.79,16
58,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    1,    1","  128,    1,    1","2,582",2.34 ,1.21,1.98,16
63,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","2,631",2.38 ,0.3,1.31,16
68,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","2,761",2.38 ,0.29,1,16
