ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [msecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"  393,    1,    1","  128,    1,    1","3,202",0.00 ,15.11,9.3,16
1,9,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[29081] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","  128,    1,    1","337,081",0.24 ,60.78,66.19,128
2,7,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"100352,    1,    1","   64,    1,    1","513,064",0.36 ,44.84,82.82,22
3,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"100352,    1,    1","   64,    1,    1","514,958",0.36 ,4.6,82.37,18
4,11,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    2,   16,    1","   32,    4,    1","3,980",0.00 ,4.26,12.22,62
5,8,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   16,   28,   14","  256,    1,    1","2,944,033",2.05 ,56.94,46.88,126
6,7,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"100352,    1,    1","   64,    1,    1","518,172",0.36 ,44.46,83.08,22
7,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"100352,    1,    1","   64,    1,    1","514,825",0.36 ,4.6,82.54,18
8,11,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"25088,    1,    1","  256,    1,    1","443,152",0.31 ,34.66,83.73,26
9,13,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,   16,    1","   32,    4,    1","4,577",0.01 ,7.43,18.59,62
10,8,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   32,   14,    7","  256,    1,    1","1,456,509",1.01 ,57.62,47.44,126
11,7,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"50176,    1,    1","   64,    1,    1","261,695",0.18 ,44.05,80.04,22
12,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"50176,    1,    1","   64,    1,    1","250,834",0.18 ,4.72,83.5,18
13,13,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,   32,    1","   32,    4,    1","5,513",0.01 ,12.4,24.1,62
