model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3308.3008913993835,500,6.616601782798767
resnet50,10,1,3391.6476440429688,195,17.393064841245995

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8784.055318832397,500,17.568110637664795
mobilenet,10,8,8700.45525932312,434,20.04713193392424

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8813.1851272583,500,17.6263702545166
mobilenet,10,16,8735.893074035645,254,34.39327981903797

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8800.702562332153,500,17.601405124664307
mobilenet,10,32,8617.014888763428,138,62.442136875097304

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3264.200316429138,500,6.528400632858276
resnet50,10,8,3418.3747787475586,48,71.21614122390747

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,10095.093376159668,500,20.190186752319335
resnet50,10,8,10341.925018310547,145,71.3236208159348

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,17235.355140686035,500,34.47071028137207
resnet50,10,8,17457.427444458008,245,71.25480589574697

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,32,31407.71078491211,500,62.81542156982422
resnet50,10,8,31746.71167755127,445,71.34092511809274

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3285.1343965530396,500,6.570268793106079
resnet50,10,16,3488.8284225463867,30,116.29428075154622

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,10185.193416595459,500,20.370386833190917
resnet50,10,16,10433.12102508545,91,114.6496815943456

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,17346.035926818848,500,34.69207185363769
resnet50,10,16,17673.00714111328,154,114.75978663060572

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,32,31596.295169830322,500,63.19259033966065
resnet50,10,16,31926.5044631958,278,114.84354123451728

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3333.6726999282837,500,6.6673453998565675
resnet50,10,32,3542.879898071289,17,208.4046998865464

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,10218.050451278687,500,20.436100902557374
resnet50,10,32,10463.956008911133,50,209.27912017822266

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,17392.737857818604,500,34.785475715637205
resnet50,10,32,17777.39811706543,85,209.14586020076976

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,32,31661.68543624878,500,63.323370872497556
resnet50,10,32,32006.794021606445,153,209.1947321673624

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,1,2844.0610246658325,500,5.688122049331665
resnet50,10,1,2919.6397399902344,169,17.275974792841623

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,8,4191.568256378174,500,8.383136512756348
resnet50,10,1,4306.679178237915,235,18.32629437548049

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,16,7199.526078224182,500,14.399052156448365
resnet50,10,1,7314.430404663086,388,18.851624754286306

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,9533.075038909912,500,19.066150077819824
mobilenet,25,32,9442.393461227417,358,26.375400729685524

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,1,2821.3379192352295,500,5.642675838470459
resnet50,10,8,2939.0458755493164,41,71.68404574510528

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,8,4261.892689704895,500,8.52378537940979
resnet50,10,8,4446.272277832031,60,74.10453796386719

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,16,7281.1698570251465,500,14.562339714050292
resnet50,10,8,7420.796653747559,99,74.95754195704605

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,32,13402.163875579834,500,26.80432775115967
resnet50,10,8,13575.485664367676,179,75.84070203557361

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,1,2863.6880679130554,500,5.727376135826111
resnet50,10,16,3034.402359008789,26,116.70778303879958

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,8,4333.743217468262,500,8.667486434936523
resnet50,10,16,4515.704803466797,38,118.83433693333676

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,16,7360.2176876068115,500,14.720435375213624
resnet50,10,16,7518.446006774902,63,119.34041280595083

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,32,13575.231298446655,500,27.15046259689331
resnet50,10,16,13827.270790100098,114,121.29184903596577

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,1,2906.1051230430603,500,5.812210246086121
resnet50,10,32,3134.8961029052734,15,208.99307352701823

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,8,4327.486433982849,500,8.654972867965698
resnet50,10,32,4503.847259521484,21,214.46891712007067

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,16,7408.614658355713,500,14.817229316711426
resnet50,10,32,7655.628875732422,35,218.7322535923549

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,32,13623.33498954773,500,27.246669979095458
resnet50,10,32,13924.290710449219,63,221.0204874674479

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,50,1,2948.226462841034,500,5.896452925682068
resnet50,10,1,3021.5249309539795,174,17.36508581008034

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,50,8,2978.25798368454,500,5.9565159673690795
resnet50,10,1,3075.435525894165,154,19.97036055775432

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,50,16,4638.732104301453,500,9.277464208602906
resnet50,10,1,4749.863847732544,210,22.618399274916875

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,50,32,8719.584297180176,500,17.43916859436035
resnet50,10,1,8834.79627609253,369,23.94253733358409

model name,gpu resource,batchsize,total latency,real exec times,avg latency
