model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3314.0809264183044,500,6.628161852836609
vgg19,10,1,3455.712646484375,117,29.536005525507477

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,10183.483560562134,500,20.36696712112427
vgg19,10,1,10360.295421600342,356,29.101953431461634

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,1,14537.693517684937,500,29.07538703536987
mobilenet,10,16,14335.345806121826,413,34.71028040223202

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,1,14553.12146949768,500,29.10624293899536
mobilenet,10,32,14307.643268585205,226,63.30815605568675

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3240.306499481201,500,6.480612998962402
vgg19,10,8,3420.4014282226562,19,180.02112780119242

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,10093.36618423462,500,20.186732368469237
vgg19,10,8,10373.20034790039,58,178.84828186035156

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,17243.8563041687,500,34.487712608337404
vgg19,10,8,17528.925994873047,98,178.86659178441886

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,32,31452.012329101562,500,62.90402465820313
vgg19,10,8,31859.76402282715,178,178.9874383304896

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3230.15900850296,500,6.46031801700592
vgg19,10,16,3436.526809692383,16,214.78292560577393

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,10137.645875930786,500,20.275291751861573
vgg19,10,16,10533.262191772461,49,214.9645345259686

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,17330.182857513428,500,34.660365715026856
vgg19,10,16,17650.80892944336,82,215.2537674322361

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,32,31578.834213256836,500,63.15766842651367
vgg19,10,16,32081.87467956543,149,215.31459516486865

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3192.201090335846,500,6.3844021806716915
vgg19,10,32,2068.804168701172,5,413.7608337402344

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,10150.406049728394,500,20.300812099456788
vgg19,10,32,9465.572875976562,23,411.5466467815897

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,17334.030460357666,500,34.668060920715334
vgg19,10,32,16899.206573486328,41,412.1757700850324

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,32,31658.38719177246,500,63.316774383544924
vgg19,10,32,31410.308380126953,76,413.2935313174599

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,1,2954.2136359214783,500,5.908427271842957
vgg19,10,1,3048.4491424560547,103,29.596593616078202

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,8,4290.3362865448,500,8.580672573089599
vgg19,10,1,4455.2734088897705,148,30.103198708714665

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,16,7350.296579360962,500,14.700593158721924
vgg19,10,1,7504.059316635132,247,30.380806949939807

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,32,13560.224731445312,500,27.120449462890626
vgg19,10,1,13747.045623779297,449,30.617028115321375

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,1,2765.4002833366394,500,5.530800566673279
vgg19,10,8,2890.15283203125,16,180.63455200195312

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,8,4225.4548416137695,500,8.45090968322754
vgg19,10,8,4403.601745605469,24,183.48340606689453

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,16,7275.400770187378,500,14.550801540374756
vgg19,10,8,7601.2918701171875,41,185.39736268578505

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,32,13400.94845199585,500,26.8018969039917
vgg19,10,8,13646.553802490234,73,186.93909318479774

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,1,3014.2723841667175,500,6.028544768333435
vgg19,10,16,3246.7588653564453,15,216.45059102376302

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,8,4250.785436630249,500,8.501570873260498
vgg19,10,16,4399.707290649414,20,219.9853645324707

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,16,7336.640157699585,500,14.67328031539917
vgg19,10,16,7588.938232421875,34,223.20406565946692

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,32,13525.579271316528,500,27.051158542633058
vgg19,10,16,13768.573440551758,61,225.7143186975698

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,1,2962.066499233246,500,5.924132998466492
vgg19,10,32,2072.3304138183594,5,414.46608276367186

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,8,4254.5512018203735,500,8.509102403640748
vgg19,10,32,3363.938995361328,8,420.492374420166

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,16,7336.463743209839,500,14.672927486419677
vgg19,10,32,6424.3177490234375,15,428.28784993489586

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,32,13528.069519042969,500,27.056139038085938
vgg19,10,32,12958.607543945312,30,431.9535847981771

