model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3196.1531252861023,500,6.392306250572204
densenet201,10,1,3276.357536315918,87,37.65928202661975

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,9890.099557876587,500,19.780199115753174
densenet201,10,1,9899.483577728271,258,38.370091386543685

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,17003.799434661865,500,34.00759886932373
densenet201,10,1,16929.46612548828,440,38.47605937610973

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,1,19369.13995742798,500,38.73827991485596
mobilenet,10,32,19408.73359298706,312,62.20747946470212

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3326.070981025696,500,6.652141962051392
densenet201,10,8,3530.6629943847656,28,126.09510694231305

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,10081.206972122192,500,20.162413944244385
densenet201,10,8,10220.656921386719,81,126.18094964674961

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,17200.264003753662,500,34.400528007507326
densenet201,10,8,17431.402877807617,138,126.31451360730158

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,32,31384.244567871094,500,62.768489135742186
densenet201,10,8,31556.077178955078,249,126.731233650422

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3236.6342062950134,500,6.473268412590027
densenet201,10,16,3380.3866424560547,17,198.84627308565027

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,10169.352714538574,500,20.338705429077148
densenet201,10,16,10336.568832397461,52,198.78016985379733

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,17332.752285003662,500,34.66550457000732
densenet201,10,16,17686.87483215332,89,198.72893069835192

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,32,31558.918285369873,500,63.11783657073975
densenet201,10,16,31843.64434814453,160,199.02277717590331

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3272.608027935028,500,6.545216055870056
densenet201,10,32,3488.5098571777344,10,348.8509857177734

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,10232.539854049683,500,20.465079708099367
densenet201,10,32,10540.375610351562,30,351.3458536783854

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,17398.611694335938,500,34.797223388671874
densenet201,10,32,17955.32211303711,51,352.0651394713159

model name,gpu resource,batchsize,total latency,real exec times,avg latency
model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,1,2992.766592025757,500,5.985533184051514
densenet201,10,1,3048.0943336486816,81,37.630794242576314

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,8,4160.018943786621,500,8.320037887573243
densenet201,10,1,4253.543266296387,105,40.5099358694894

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,16,7091.108184814453,500,14.182216369628906
densenet201,10,1,7145.458702087402,173,41.3032294918347

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,32,13023.585624694824,500,26.04717124938965
densenet201,10,1,13025.950012207031,311,41.88408364053708

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,1,2604.6225929260254,500,5.209245185852051
densenet201,10,8,2783.375312805176,22,126.51705967296253

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,8,4242.11785697937,500,8.484235713958741
densenet201,10,8,4465.123176574707,34,131.32715225219727

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,25,16,7267.164016723633,500,14.534328033447265
