model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8518.95225906372,500,17.03790451812744
densenet201,10,1,8431.35336303711,223,37.80875947550273

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8579.546876907349,500,17.159093753814698
densenet201,10,8,8509.80297088623,69,123.33047783893088

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8652.246627807617,500,17.304493255615235
densenet201,10,16,8750.883605957031,45,194.46408013237848

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8779.419172286987,500,17.558838344573974
densenet201,10,32,8655.054168701172,25,346.20216674804686

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,1,18982.589500427246,500,37.96517900085449
resnet50,10,8,19366.853744506836,277,69.916439510855

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,35258.859199523926,500,70.51771839904785
densenet201,10,8,35016.79431152344,280,125.05997968401228

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,35509.15033721924,500,71.01830067443848
densenet201,10,16,35492.15379333496,180,197.17863218519423

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,35615.79641723633,500,71.23159283447265
densenet201,10,32,35613.25469970703,102,349.1495558794807

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,1,19279.72720336914,500,38.55945440673828
resnet50,10,16,19693.045753479004,174,113.17842387056899

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,16,57212.40899658203,500,114.42481799316407
densenet201,10,8,56892.145835876465,449,126.70856533602776

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,16,57283.63636016846,500,114.56727272033692
densenet201,10,16,57012.506256103516,287,198.64984758224222

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,16,56397.24225616455,500,112.7944845123291
model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,1,19450.277313232422,500,38.900554626464846
resnet50,10,32,19882.125106811523,96,207.10546986262003

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,8,63336.869552612305,500,126.67373910522461
resnet50,10,32,64048.26123046875,308,207.94890009892453

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,16,99551.37712097168,500,199.10275424194336
resnet50,10,32,100219.48023986816,480,208.79058383305866

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,32,103918.66571044922,500,207.83733142089844
model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8555.098501205444,500,17.11019700241089
densenet201,25,1,8405.106271743774,321,26.18413168767531

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,9012.332452774048,500,18.024664905548097
densenet201,25,8,8929.665157318115,175,51.026658041817804

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,9193.736419677734,500,18.387472839355468
densenet201,25,16,9184.556480407715,109,84.26198605878638

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,9404.929250717163,500,18.809858501434327
densenet201,25,32,9370.765396118164,65,144.16562147874097

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,1,13345.589696884155,500,26.691179393768312
resnet50,10,8,13709.062042236328,194,70.66526825895015

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,8,25681.373558044434,500,51.36274711608887
resnet50,10,8,26075.737335205078,359,72.63436583622584

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,36942.015937805176,500,73.88403187561035
densenet201,25,16,36622.38635253906,430,85.168340354742

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,37541.38285064697,500,75.08276570129395
densenet201,25,32,37308.009368896484,255,146.3059190937117

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,1,13093.041641235352,500,26.186083282470705
resnet50,10,16,13540.436698913574,118,114.74946355011504

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,8,26053.251083374023,500,52.106502166748044
resnet50,10,16,26539.25675201416,227,116.91302533926942

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,16,43085.19785308838,500,86.17039570617676
resnet50,10,16,43616.659507751465,368,118.52353127106376

model name,gpu resource,batchsize,total latency,real exec times,avg latency
model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,1,12835.228693008423,500,25.670457386016846
resnet50,10,32,13404.34602355957,64,209.4429066181183

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,8,26151.42519378662,500,52.302850387573244
resnet50,10,32,26622.76678466797,125,212.98213427734376

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,16,43210.30142211914,500,86.42060284423827
resnet50,10,32,43856.514892578125,203,216.0419452836361

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,32,103919.93867492676,500,207.8398773498535
model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8594.137086868286,500,17.188274173736573
densenet201,50,1,8470.198860168457,334,25.359876826851668

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,9701.390283584595,500,19.402780567169188
densenet201,50,8,9561.07919883728,309,30.942003879732297

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,10565.491830825806,500,21.130983661651612
densenet201,50,16,10466.096488952637,208,50.31777158150306

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,11467.80034828186,500,22.93560069656372
densenet201,50,32,11451.9267578125,130,88.09174429086538

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,50,1,11350.795625686646,500,22.70159125137329
resnet50,10,8,11646.450973510742,164,71.01494496043135

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,50,8,15602.866464614868,500,31.205732929229736
resnet50,10,8,16022.636505126953,207,77.40404108756982

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,50,16,25577.261032104492,500,51.15452206420898
resnet50,10,8,26035.917510986328,312,83.44845356085362

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,44675.50428771973,500,89.35100857543945
densenet201,50,32,44325.72414398193,493,89.9101909614238

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,50,1,13792.262546539307,500,27.584525093078614
resnet50,10,16,14225.162887573242,124,114.7190555449455

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,50,8,15913.671941757202,500,31.827343883514406
resnet50,10,16,16343.949401855469,132,123.81779849890506

model name,gpu resource,batchsize,total latency,real exec times,avg latency
