,,,,,,,,,,,,,,,,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,,,,,,,,,,,,,,,
resnet50,origin,,16.39901155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,1,17.03790452,500,0.638892968,0.039,,densenet201,10,1,37.80875948,223,1.323641756,0.0363,,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,,2.242152466,,10118055.01,6703797.456,16821852.47,0.268261331,16096439.71,5444107.92,21540547.63,7989794.302,780227.494,8770021.796,,
resnet50,10,1,17.15909375,500,0.760082204,0.0463,,densenet201,10,8,123.3304778,69,4.405535239,0.037,,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,,7.246376812,,15898711.87,18182095.33,34080807.2,0.064377062,32685529.91,11913630.94,44599160.85,19632510.8,7134309.234,26766820.03,,
resnet50,10,1,17.30449326,500,0.905481706,0.0552,,densenet201,10,16,194.4640801,45,7.478928932,0.04,,137691091,257830364,395521455,0.348125466,382472342,195536851,578009193,272706918,146807045,419513963,,11.11111111,,12392198.19,23204732.76,35596930.95,0.031331292,34422510.78,17598316.59,52020827.37,24543622.62,13212634.05,37756256.67,,
resnet50,10,1,17.55883834,500,1.159826795,0.0707,,densenet201,10,32,346.2021667,25,14.49147825,0.0437,,190093285,575953100,766046385,0.248148531,736205505,373195792,1109401297,601861481,317181847,919043328,,20,,9504664.25,28797655,38302319.25,0.012407427,36810275.25,18659789.6,55470064.85,30093074.05,15859092.35,45952166.4,,
resnet50,10,1,17.110197,500,0.711185452,0.0434,,densenet201,25,1,26.18413169,321,0.472106448,0.0184,,23539259,15030936,38570195,0.610296603,37014917,12208251,49223168,16494139,1727044,18221183,,1.557632399,,15112204.28,9649860.912,24762065.19,0.391810419,23763576.71,7837697.142,31601273.86,10589237.24,1108762.248,11697999.49,,
resnet50,10,1,18.02466491,500,1.625653356,0.0991,,densenet201,25,8,51.02665804,175,2.090005512,0.0427,,122597846,124322140,246919986,0.496508395,237911918,86226254,324138172,128140569,49681340,177821909,,2.857142857,,42909246.1,43512749,86421995.1,0.173777938,83269171.3,30179188.9,113448360.2,44849199.15,17388469,62237668.15,,
resnet50,10,1,18.38747284,500,1.988461289,0.1213,,densenet201,25,16,84.26198606,109,2.507367679,0.0307,,131359341,265363338,396722679,0.331111247,384300761,195143217,579443978,272102348,144546326,416648674,,4.587155963,,28636336.34,57849207.68,86485544.02,0.072182252,83777565.9,42541221.31,126318787.2,59318311.86,31511099.07,90829410.93,,
resnet50,10,1,18.8098585,500,2.410846951,0.147,,densenet201,25,32,144.1656215,65,6.179004679,0.0448,,186820181,577253926,764074107,0.244505316,735767874,372640926,1108408800,588447297,316571472,905018769,,7.692307692,,24286623.53,75043010.38,99329633.91,0.031785691,95649823.62,48443320.38,144093144,76498148.61,41154291.36,117652440,,
resnet50,10,1,17.18827417,500,0.789262624,0.0481,,densenet201,50,1,25.35987683,334,0.377869167,0.0151,,23618096,15045852,38663948,0.610855777,37068764,12201701,49270465,16124930,1211766,17336696,,1.497005988,,15776888.13,10050629.14,25827517.26,0.408051659,24761934.35,8150736.268,32912670.62,10771453.24,809459.688,11580912.93,,
resnet50,10,1,19.40278057,500,3.003769017,0.1832,,densenet201,50,8,30.94200388,309,0.29998816,0.0098,,129561256,117671768,247233024,0.524045105,239610816,86220044,325830860,119888543,48201829,168090372,,1.618122977,,80068856.21,72721152.62,152790008.8,0.323859875,148079484.3,53283987.19,201363471.5,74091119.57,29788730.32,103879849.9,,
resnet50,10,1,21.13098366,500,4.731972112,0.2886,,densenet201,50,16,50.31777158,208,1.065954532,0.0216,,133274876,263570528,396845404,0.335835755,384992802,195227201,580220003,267587148,142844019,410431167,,2.403846154,,55442348.42,109645339.6,165087688.1,0.139707674,160157005.6,81214515.62,241371521.2,111316253.6,59423111.9,170739365.5,,
resnet50,10,1,22.9356007,500,6.536589147,0.3986,,densenet201,50,32,88.09174429,130,2.785918031,0.0327,,192049156,569170270,761219426,0.252291454,736466950,372429610,1108896560,574702314,311524150,886226464,,3.846153846,,49932780.56,147984270.2,197917050.8,0.065595778,191481407,96831698.6,288313105.6,149422601.6,80996279,230418880.6,,
