 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,1,1
Throughput,37.41694977384218,26.24507359522743
Latency,26.726833144126285,38.10336632274989
 
 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,1,8
Throughput,37.01448699650124,73.15565641310047
Latency,27.01742644908438,109.36368345125501
 
 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,1,16
Throughput,36.91440262335826,85.39005153754408
Latency,27.090674942084693,187.39109709131355
 
 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,1,32
Throughput,36.82564027605833,96.24256696803897
Latency,27.155970348182553,332.5244882353709
 
 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,8,1
Throughput,70.65240918232499,26.205871162853278
Latency,113.23821181386562,38.16036524156534
 
 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,8,8
Throughput,69.88717371483338,73.04253186754501
Latency,114.478037485537,109.53304823204216
 
 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,8,16
Throughput,69.69689306600839,85.25700737477679
Latency,114.79055453422167,187.68349781796616
 
 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,8,32
Throughput,69.52814386906076,96.09192365042357
Latency,115.06913948212339,333.0457378710271
 
 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,16,1
Throughput,76.02560528922595,26.199583627080216
Latency,210.47105017186888,38.16952296403925
 
 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,16,8
Throughput,75.20136091903585,73.02438934254583
Latency,212.7777462939832,109.56025919834708
 
 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,16,16
Throughput,74.99641009541521,85.2356705008417
Latency,213.35918437900344,187.73047633548023
 
 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,16,32
Throughput,74.81465166683192,96.0677645244298
Latency,213.8774917779283,333.129484363104
 
 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,32,1
Throughput,80.06684369949227,26.194845988204204
Latency,399.6973390698676,38.17642618405162
 
 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,32,8
Throughput,79.19831415044263,73.01071920844171
Latency,404.0802831645908,109.58077120749427
 
 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,32,16
Throughput,78.98235328997885,85.21959352340254
Latency,405.18507134919605,187.7658894027771
 
 ,vgg19,densenet201
GPU allocate,10,10
Batchsize,32,32
Throughput,78.79083126375691,96.0495610640585
Latency,406.16990516913023,333.1926136468007
 
 ,vgg19,densenet201
GPU allocate,10,25
Batchsize,1,1
Throughput,37.35509998552141,32.57716145495065
Latency,26.77108382255393,30.697328988513533
 
 ,vgg19,densenet201
GPU allocate,10,25
Batchsize,1,8
Throughput,36.48264496730129,133.44266285572803
Latency,27.411270784326813,59.95866165942208
 
 ,vgg19,densenet201
GPU allocate,10,25
Batchsize,1,16
Throughput,36.156980154690196,173.9446282864855
Latency,27.658154456654202,91.99893394307557
 
 ,vgg19,densenet201
GPU allocate,10,25
Batchsize,1,32
Throughput,35.86589715525855,211.13165593742792
Latency,27.882616541144547,151.59547605017968
 
 ,vgg19,densenet201
GPU allocate,10,25
Batchsize,8,1
Throughput,70.53480158131612,32.5291358760785
Latency,113.4270087550456,30.742648669223705
 
 ,vgg19,densenet201
GPU allocate,10,25
Batchsize,8,8
Throughput,68.87611642300381,133.23940923935209
Latency,116.1583869951251,60.05011527300032
 
 ,vgg19,densenet201
GPU allocate,10,25
Batchsize,8,16
Throughput,68.25711170284106,173.67657334349707
Latency,117.21172411489165,92.14090229455833
 
 ,vgg19,densenet201
GPU allocate,10,25
Batchsize,8,32
Throughput,67.70390219868098,210.80351671358784
Latency,118.16939880979949,151.83140265570552
 
 ,vgg19,densenet201
GPU allocate,10,25
Batchsize,16,1
Throughput,75.89892756343218,32.52143305335821
Latency,210.82230695097704,30.74992994871418
 
 ,vgg19,densenet201
GPU allocate,10,25
Batchsize,16,8
Throughput,74.11236618131824,133.20681124545843
Latency,215.9040371799739,60.06480865367826
 
 ,vgg19,densenet201
GPU allocate,10,25
Batchsize,16,16
Throughput,73.44566075651672,173.63358334926428
Latency,217.86377128208287,92.16371161778721
 
 ,vgg19,densenet201
GPU allocate,10,25
Batchsize,16,32
Throughput,72.84983060183306,210.75089135442477
Latency,219.64552540725185,151.86930776728516
 
 ,vgg19,densenet201
GPU allocate,10,25
Batchsize,32,1
Throughput,79.933359133166,32.51562896824646
Latency,400.3647606738509,30.75541867961179
 
 ,vgg19,densenet201
GPU allocate,10,25
Batchsize,32,8
