 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,1,1,1
Throughput,16.97678472,32.16829479,45.37659792,92.55179942
Latency,58.9049464,31.08748691,22.03876887,10.80573767
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,1,1,8
Throughput,16.78749604,31.5141596,44.83276209,314.5010567
Latency,59.56912255,31.73274542,22.30609437,25.44493607
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,1,1,16
Throughput,16.74870165,31.38159333,44.72141727,381.2635386
Latency,59.70709801,31.86679094,22.36162837,41.98136214
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,1,8,1
Throughput,16.82351712,31.51429447,128.9762303,91.46329588
Latency,59.44158033,31.73260961,62.03475268,10.93432498
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,1,8,8
Throughput,16.63516692,30.87699511,127.3450653,310.0979158
Latency,60.11459129,32.38754863,62.82925664,25.80612266
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,1,8,16
Throughput,16.59656453,30.74781465,127.011349,375.676728
Latency,60.25441113,32.52361398,62.99431699,42.60544803
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,1,16,1
Throughput,16.83992972,31.58361374,126.3983583,91.57957073
Latency,59.38364808,31.66296548,126.5995619,10.92044336
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,1,16,8
Throughput,16.65147913,30.94454006,124.778678,310.5673333
Latency,60.05570247,32.31685606,128.242675,25.76712895
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,1,16,16
Throughput,16.6128562,30.81500272,124.4473812,376.2719896
Latency,60.19532261,32.45270264,128.5840338,42.53807103
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,8,1,1
Throughput,16.88473185,62.5380585,45.11423704,91.96152399
Latency,59.22608146,127.9299233,22.16692917,10.87509042
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,8,1,8
Throughput,16.69586409,61.23433059,44.57202117,312.2419175
Latency,59.89605053,130.6534872,22.4365766,25.62897923
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,8,1,16
Throughput,16.65715585,60.97027242,44.46100741,378.4357556
Latency,60.03523593,131.2193049,22.49259557,42.29494233
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,8,8,1
Throughput,16.73189927,61.22857345,128.1932167,90.87857349
Latency,59.76705563,130.6657715,62.41361775,11.0046713
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,8,8,8
Throughput,16.54396671,59.95982395,126.5678045,307.8687935
Latency,60.44597337,133.4304929,63.21504701,25.99291514
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,8,8,16
Throughput,16.5054498,59.70279403,126.2352626,372.8897862
Latency,60.58702705,134.0048985,63.381554,42.92376009
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,8,16,1
Throughput,16.74826534,61.36729557,125.6219419,90.99425635
Latency,59.70865344,130.3704163,127.3819238,10.99068208
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,8,16,8
Throughput,16.56023273,60.09486258,124.0082249,308.33502
Latency,60.38660224,133.13068,129.0393392,25.95362365
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,8,16,16
Throughput,16.52169535,59.83709242,123.678145,373.4807099
Latency,60.52745362,133.7041554,129.3836856,42.85587058
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,16,1,1
Throughput,16.86996008,67.575511,45.07215353,91.8669078
Latency,59.27794047,236.7878037,22.18762534,10.88628996
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,16,1,8
Throughput,16.68115983,66.16160325,44.53019729,311.8801208
Latency,59.9488474,241.8477475,22.45764868,25.65870107
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,16,1,16
Throughput,16.64246541,65.87525388,44.41923659,377.9830111
Latency,60.08822869,242.8989537,22.51374617,42.34558409
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,16,8,1
Throughput,16.71719726,66.15442945,128.0676573,90.78484616
Latency,59.81961716,241.8739718,62.47480129,11.01603164
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,16,8,8
Throughput,16.52933167,64.77868497,126.4431667,307.5117948
Latency,60.49949124,247.0104649,63.27735177,26.02308193
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,16,8,16
Throughput,16.49082847,64.5000028,126.1108129,372.4435673
Latency,60.6407447,248.077644,63.44409298,42.97516766
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,16,16,1
Throughput,16.73355586,66.30496184,125.4974513,90.90043426
Latency,59.76113891,241.32488,127.5082683,11.00202501
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,16,16,8
Throughput,16.54559029,64.92519894,123.8846894,307.9775112
Latency,60.44004204,246.4530821,129.1679992,25.98374225
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,1,16,16,16
Throughput,16.50706663,64.64570932,123.5548044,373.0337978
Latency,60.58109277,247.5185311,129.5128294,42.90719519
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,8,1,1,1
Throughput,58.27541893,31.65630768,44.97861212,91.63069621
Latency,137.28697,31.5902585,22.23376661,10.91435083
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,8,1,1,8
Throughput,57.58293852,31.01455846,44.43759176,310.8769338
Latency,138.9378605,32.2438998,22.50444716,25.7414754
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,8,1,1,16
Throughput,57.44113353,30.88448405,44.32682216,376.6957693
Latency,139.2808372,32.37969547,22.56068174,42.49023364
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,8,1,8,1
Throughput,57.69828913,31.01602704,127.7731748,90.55177564
Latency,138.6601111,32.24237313,62.61877076,11.04438321
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,8,1,8,8
Throughput,57.01025675,30.39061894,126.1520681,306.526507
Latency,140.3334462,32.90586833,63.42334758,26.10670445
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,8,1,8,16
Throughput,56.86936058,30.26383153,125.8204045,371.1809864
Latency,140.6811087,33.04372021,63.59051145,43.1212955
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
