,,,,,,,,,,,,,,,,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,,,,,,,,,,,,,
resnet50,origin,,16.39901155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,1,17.64749706,500,1.248485509,0.0761,,vgg19,10,1,28.8794471,298,1.420289399,0.051723706,,37387583,46526792,83914375,0.445544437,82085524,10681245,92766769,48848910,8061323,56910233,,1.677852349,,22282999.47,27729968.03,50012967.5,0.265544485,48922972.3,6366022.02,55288994.32,29113950.36,4804548.508,33918498.87
resnet50,10,1,17.43099891,500,1.031987355,0.0629,,vgg19,10,8,179.2053182,41,6.276962872,0.036298055,,188278242,156733336,345011578,0.545715721,335344902,97694348,433039250,170199768,91653849,261853617,,12.19512195,,15438815.84,12852133.55,28290949.4,0.044748689,27498281.96,8010936.536,35509218.5,13956380.98,7515615.618,21471996.59
resnet50,10,1,17.51959983,500,1.120588284,0.0683,,vgg19,10,16,215.2518764,33,6.305901169,0.030179577,,208898365,205527704,414426069,0.504066661,399110031,180186123,579296154,221763990,173204529,394968519,,15.15151515,,13787292.09,13564828.46,27352120.55,0.0332684,26341262.05,11892284.12,38233546.16,14636423.34,11431498.91,26067922.25
resnet50,10,1,17.41708126,500,1.018069711,0.0621,,vgg19,10,32,409.6179763,13,13.90231556,0.035132083,,391207267,411481554,802688821,0.487371017,775136976,350363849,1125500825,443584308,342512658,786096966,,38.46153846,,10171388.94,10698520.4,20869909.35,0.012671646,20153561.38,9109460.074,29263021.45,11533192.01,8905329.108,20438521.12
resnet50,10,1,18.58868705,305,2.189675502,0.1335,,vgg19,25,1,11.14215533,500,0.493718181,0.046365319,,37250499,46388936,83639435,0.445370046,81976780,10680776,92657556,47238505,8568473,55806978,,0.61,,61066391.8,76047436.07,137113827.9,0.730114829,134388163.9,17509468.85,151897632.8,77440172.13,14046677.05,91486849.18
resnet50,10,1,18.15872819,500,1.759716638,0.1073,,vgg19,25,8,68.65877454,125,1.899193546,0.028448254,,213072010,157255434,370327444,0.575361112,360713312,97729549,458442861,162493998,92326125,254820123,,4,,53268002.5,39313858.5,92581861,0.143840278,90178328,24432387.25,114610715.3,40623499.5,23081531.25,63705030.75
resnet50,10,1,18.50096949,500,2.101957936,0.1282,,vgg19,25,16,83.21650074,103,1.967923086,0.024221016,,234274095,206555530,440829625,0.531439091,425715259,180299365,606014624,213214860,173246477,386461337,,4.854368932,,48260463.57,42550439.18,90810902.75,0.109476453,87697343.35,37141669.19,124839012.5,43922261.16,35688774.26,79611035.42
resnet50,10,1,18.4980282,500,2.099016648,0.128,,vgg19,25,32,159.3797046,50,3.39102309,0.021738905,,391513634,412384078,803897712,0.487019217,776227951,350432906,1126660857,425121517,342057003,767178520,,10,,39151363.4,41238407.8,80389771.2,0.048701922,77622795.1,35043290.6,112666085.7,42512151.7,34205700.3,76717852
resnet50,10,1,22.04605175,150,5.6470402,0.3444,,vgg19,50,1,6.466355459,500,0.343816568,0.056155881,,45933296,37415646,83348942,0.551096329,81750879,10678800,92429679,38032100,7329013,45361113,,0.3,,153110986.7,124718820,277829806.7,1.836987765,272502930,35596000,308098930,126773666.7,24430043.33,151203710
resnet50,10,1,21.26495107,500,4.865939515,0.2967,,vgg19,50,8,37.2557458,279,1.587852115,0.044517687,,231660727,143060350,374721077,0.618221769,364032546,97702421,461734967,145878622,91295453,237174075,,1.792114695,,129266685.7,79827675.3,209094361,0.344967747,203130160.7,54517950.92,257648111.6,81400271.08,50942862.77,132343133.9
resnet50,10,1,22.82938376,500,6.430372209,0.3921,,vgg19,50,16,47.42330677,234,1.762429277,0.038598235,,232512160,211008786,443520946,0.524241667,426706305,180193792,606900097,214680923,172493523,387174446,,2.136752137,,108815690.9,98752111.85,207567802.7,0.2453451,199698550.7,84330694.66,284029245.4,100470672,80726968.76,181197640.7
resnet50,10,1,22.91254947,500,6.513537915,0.3972,,vgg19,50,32,90.3249445,119,3.002717104,0.03438663,,442836977,414828474,857665451,0.516328338,828726772,350379720,1179106492,421560625,341791298,763351923,,4.201680672,,105395200.5,98729176.81,204124377.3,0.122886144,197236971.7,83390373.36,280627345.1,100331428.8,81346328.92,181677757.7
resnet50,10,1,24.64558142,112,8.246569866,0.5029,,vgg19,75,1,5.373690754,500,0.248461977,0.048478222,,49884325,35019084,84903409,0.587542074,81794479,10675275,92469754,35423817,7698951,43122768,,0.224,,222697879.5,156335196.4,379033075.9,2.622955687,365153924.1,47657477.68,412811401.8,158142040.2,34370316.96,192512357.1
resnet50,10,1,24.31730847,500,7.918296922,0.4829,,vgg19,75,8,29.27577178,408,1.156891777,0.041142883,,272671986,136257924,408929910,0.66679394,399391988,97693757,497085745,138304966,91756818,230061784,,1.225490196,,222500340.6,111186466,333686806.6,0.544103855,325903862.2,79718105.71,405621967.9,112856852.3,74873563.49,187730415.7
resnet50,10,1,28.10730006,500,11.70828851,0.714,,vgg19,75,16,38.89455152,355,1.352108656,0.036015468,,262989497,209338010,472327507,0.556794794,454961700,180255531,635217231,212157021,173759459,385916480,,1.408450704,,186722542.9,148629987.1,335352530,0.395324304,323022807,127981427,451004234,150631484.9,123369215.9,274000700.8
resnet50,10,1,28.30575637,500,11.90674482,0.7261,,vgg19,75,32,74.04539875,184,2.550848054,0.035678916,,436351489,421837248,858188737,0.508456322,829666792,350338623,1180005415,426665093,341441363,768106456,,2.717391304,,160577348,155236107.3,315813455.2,0.187111927,305317379.5,128924613.3,434241992.7,157012754.2,125650421.6,282663175.8
resnet50,10,1,25.6088875,102,9.209875954,0.5616,,vgg19,90,1,5.085907395,500,0.673980339,0.152763255,,,0.204,,,,,,,,,,,,,,,,,,,,,
resnet50,10,1,26.31679414,500,9.91778259,0.6048,,vgg19,90,8,26.43768112,492,2.770983854,0.117083673,,,1.016260163,,,,,,,,,,,,,,,,,,,,,
resnet50,10,1,31.36265872,500,14.96364717,0.9125,,vgg19,90,16,35.99379687,429,2.773895327,0.08350101,,,1.165501166,,,,,,,,,,,,,,,,,,,,,
resnet50,10,1,31.64148021,500,15.24246866,0.9295,,vgg19,90,32,68.29589398,224,5.066783946,0.080133722,,,2.232142857,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,origin,,68.35067451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
