,,,,,,,,,,,,,,,,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,,,,,,,,,,,,,
resnet50,origin,,16.39901155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,1,17.24305959,191,0.844048038,0.051469446,,mobilenet,10,1,6.375679683,500,0.608266873,0.105466158,,2021923,2955048,4976971,0.406255733,4742612,3094102,7836714,3526137,650259,4176396,,0.382,,5292992.147,7735727.749,13028719.9,1.063496682,12415214.66,8099743.455,20514958.12,9230725.131,1702248.691,10932973.82
resnet50,10,1,17.55077374,500,1.151762185,0.070233635,,mobilenet,10,8,20.01381825,434,0.584430183,0.030079701,,11093898,22776914,33870812,0.327535637,32910564,20874532,53785096,24372805,12992906,37365711,,1.152073733,,9629503.464,19770361.35,29399864.82,0.284300933,28566369.55,18119093.78,46685463.33,21155594.74,11277842.41,32433437.15
resnet50,10,1,17.58008771,500,1.181076161,0.07202118,,mobilenet,10,16,34.30883426,254,0.465340756,0.013749785,,18851231,47845660,66696891,0.282640326,65055313,41144094,106199407,50667425,31522588,82190013,,1.968503937,,9576425.348,24305595.28,33882020.63,0.143581285,33048099,20901199.75,53949298.76,25739051.9,16013474.7,41752526.6
resnet50,10,1,17.58466322,500,1.185651666,0.072300191,,mobilenet,10,32,62.43228221,138,-0.038289267,-0.000612917,,24128868,100916572,125045440,0.192960799,121729851,80305179,202035030,106027294,70266110,176293404,,3.623188406,,6659567.568,27852973.87,34512541.44,0.05325718,33597438.88,22164229.4,55761668.28,29263533.14,19393446.36,48656979.5
resnet50,10,1,17.48120966,157,1.082198114,0.065991667,,mobilenet,25,1,5.351281666,500,0.155060543,0.029841021,,2101877,2955048,5056925,0.415643301,4822791,3093477,7916268,3124990,611317,3736307,,0.314,,6693875.796,9410980.892,16104856.69,1.32370478,15359207.01,9851837.58,25211044.59,9952197.452,1946869.427,11899066.88
resnet50,10,1,18.27965276,234,1.880641209,0.114680156,,mobilenet,25,8,8.346054276,500,0.291057161,0.036133739,,10260681,23747778,34008459,0.301709672,33069815,20856593,53926408,24623982,12632991,37256973,,0.468,,21924532.05,50743115.38,72667647.44,0.644678786,70661997.86,44565369.66,115227367.5,52615346.15,26993570.51,79608916.67
resnet50,10,1,18.73078564,388,2.33177409,0.142189917,,mobilenet,25,16,14.33068239,500,0.390046572,0.027979109,,16223788,50479016,66702804,0.243224977,64999170,41099302,106098472,51526576,31285129,82811705,,0.776,,20906943.3,65050278.35,85957221.65,0.313434249,83761817.01,52963018.04,136724835.1,66400226.8,40315887.89,106716114.7
resnet50,10,1,19.0113294,500,2.612317849,0.159297275,,mobilenet,25,32,26.33722581,358,0.530239587,0.020546358,,21770914,103030464,124801378,0.1744445,121587800,80216963,201804763,105019033,70789926,175808959,,1.396648045,,15587974.42,73769812.22,89357786.65,0.124902262,87056864.8,57435345.51,144492210.3,75193627.63,50685587.02,125879214.6
resnet50,10,1,17.42800997,167,1.02899842,0.062747588,,mobilenet,50,1,5.696316665,500,0.564650129,0.110032506,,2095118,2981840,5076958,0.412671919,4845070,3092578,7937648,3147172,493757,3640929,,0.334,,6272808.383,8927664.671,15200473.05,1.235544667,14506197.6,9259215.569,23765413.17,9422670.659,1478314.371,10900985.03
resnet50,10,1,19.85354093,156,3.454529384,0.210654732,,mobilenet,50,8,6.005669312,500,0.475843071,0.086050275,,9161675,24892654,34054329,0.269031141,33122957,20843324,53966281,25190489,12416375,37606864,,0.312,,29364342.95,79784147.44,109148490.4,0.862279299,106163323.7,66805525.64,172968849.4,80738746.79,39796073.72,120534820.5
resnet50,10,1,22.72851046,210,6.329498907,0.385968318,,mobilenet,50,16,9.321444944,500,0.093013872,0.010079056,,15656851,50932060,66588911,0.235127002,64889056,41092411,105981467,51647160,30740500,82387660,,0.42,,37278216.67,121266809.5,158545026.2,0.559826195,154497752.4,97839073.81,252336826.2,122969428.6,73191666.67,196161095.2
resnet50,10,1,23.90806513,369,7.509053579,0.457896719,,mobilenet,50,32,17.40306943,500,0.535536051,0.031749518,,19881558,104563740,124445298,0.159761424,121276657,80186714,201463371,105646220,70891089,176537309,,0.738,,26939780.49,141685284.6,168625065,0.216478894,164331513.6,108654084,272985597.6,143152059.6,96058386.18,239210445.8
resnet50,10,1,17.41633482,173,1.017323275,0.062035646,,mobilenet,75,1,5.898814338,500,0.812205685,0.159675285,,2062134,3061084,5123218,0.402507565,4887344,3091566,7978910,3192418,292451,3484869,,0.346,,5959924.855,8847063.584,14806988.44,1.163316661,14125271.68,8935161.85,23060433.53,9226641.618,845234.104,10071875.72
resnet50,10,1,20.7035461,154,4.304534553,0.26248744,,mobilenet,75,8,6.202398658,500,1.086417222,0.212357538,,9182769,24956776,34139545,0.268977486,33204728,20841871,54046599,25253178,12072906,37326084,,0.308,,29814185.06,81028493.51,110842678.6,0.873303527,107807558.4,67668412.34,175475970.8,81990837.66,39197746.75,121188584.4
resnet50,10,1,26.62992342,152,10.23091187,0.623873691,,mobilenet,75,16,7.865187316,500,0.322138381,0.042706654,,14222880,51621746,65844626,0.216006694,64229599,41074298,105303897,52100352,31230080,83330432,,0.304,,46785789.47,169808375,216594164.5,0.710548337,211281575.7,135112822.4,346394398,171382736.8,102730526.3,274113263.2
resnet50,10,1,29.12161332,260,12.72260177,0.77581516,,mobilenet,75,32,14.90330796,500,0.498865427,0.034632748,,19114134,104921854,124035988,0.154101518,120885436,80163295,201048731,105621688,68979798,174601486,,0.52,,36757950,201772796.2,238530746.2,0.296349072,232471992.3,154160182.7,386632175,203118630.8,132653457.7,335772088.5
resnet50,10,1,17.41789666,166,1.018885111,0.062130886,,mobilenet,90,1,5.657830973,500,0.661238332,0.132337851,,,0.332,,,,,,,,,,,,,,,,,,,,,
resnet50,10,1,20.84919361,147,4.450182062,0.271368921,,mobilenet,90,8,5.964031228,500,0.928455876,0.184379303,,,0.294,,,,,,,,,,,,,,,,,,,,,
resnet50,10,1,28.22819487,138,11.82918332,0.721335142,,mobilenet,90,16,7.559113535,500,0.502714519,0.07124236,,,0.276,,,,,,,,,,,,,,,,,,,,,
resnet50,10,1,31.10366858,237,14.70465703,0.896679473,,mobilenet,90,32,14.49840069,500,0.853392714,0.062542486,,,0.474,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,origin,,68.35067451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,8,71.56877185,47,3.218097339,0.047082159,,mobilenet,10,1,6.422190789,500,0.654777979,0.113530625,,2021923,2955048,4976971,0.406255733,4742612,3094102,7836714,3526137,650259,4176396,,0.094,,21509819.15,31436680.85,52946500,4.321869496,50453319.15,32915978.72,83369297.87,37512095.74,6917648.936,44429744.68
resnet50,10,8,71.05005009,145,2.699375581,0.039493035,,mobilenet,10,8,20.16641416,500,0.737026088,0.037933572,,11093898,22776914,33870812,0.327535637,32910564,20874532,53785096,24372805,12992906,37365711,,0.29,,38254820.69,78541082.76,116795903.4,1.129433233,113484703.4,71981144.83,185465848.3,84044155.17,44803124.14,128847279.3
resnet50,10,8,71.15295908,245,2.802284574,0.040998638,,mobilenet,10,16,34.41973239,500,0.576238891,0.017026578,,18851231,47845660,66696891,0.282640326,65055313,41144094,106199407,50667425,31522588,82190013,,0.49,,38471900,97644204.08,136116104.1,0.576816991,132765944.9,83967538.78,216733483.7,103402908.2,64331812.24,167734720.4
resnet50,10,8,71.26498283,445,2.914308318,0.042637594,,mobilenet,10,32,62.75274101,500,0.282169533,0.004516839,,24128868,100916572,125045440,0.192960799,121729851,80305179,202035030,106027294,70266110,176293404,,0.89,,27111087.64,113389406.7,140500494.4,0.216809886,136775113.5,90230538.2,227005651.7,119131791,78950685.39,198082476.4
resnet50,10,8,71.29358176,43,2.942907253,0.043056009,,mobilenet,25,1,5.841415233,500,0.64519411,0.124166023,,2101877,2955048,5056925,0.415643301,4822791,3093477,7916268,3124990,611317,3736307,,0.086,,24440430.23,34361023.26,58801453.49,4.83306164,56078965.12,35970662.79,92049627.91,36337093.02,7108337.209,43445430.23
resnet50,10,8,73.84817378,60,5.497499267,0.080430798,,mobilenet,25,8,8.485870453,500,0.430873338,0.053491433,,10260681,23747778,34008459,0.301709672,33069815,20856593,53926408,24623982,12632991,37256973,,0.12,,85505675,197898150,283403825,2.514247264,275581791.7,173804941.7,449386733.3,205199850,105274925,310474775
resnet50,10,8,74.94311423,99,6.592439723,0.096450251,,mobilenet,25,16,14.55187749,500,0.611241675,0.04384604,,16223788,50479016,66702804,0.243224977,64999170,41099302,106098472,51526576,31285129,82811705,,0.198,,81938323.23,254944525.3,336882848.5,1.228408977,328278636.4,207572232.3,535850868.7,260235232.3,158005702,418240934.3
resnet50,10,8,75.80516896,179,7.454494452,0.109062486,,mobilenet,25,32,26.75793995,500,0.950953733,0.036848694,,21770914,103030464,124801378,0.1744445,121587800,80216963,201804763,105019033,70789926,175808959,,0.358,,60812608.94,287794592.2,348607201.1,0.48727514,339630726.3,224069729.1,563700455.3,293349254.2,197737223.5,491086477.7
resnet50,10,8,71.5602327,39,3.20955819,0.046957228,,mobilenet,50,1,5.317201015,500,0.185534479,0.03615482,,2095118,2981840,5076958,0.412671919,4845070,3092578,7937648,3147172,493757,3640929,,0.078,,26860487.18,38228717.95,65089205.13,5.290665627,62116282.05,39648435.9,101764717.9,40348358.97,6330217.949,46678576.92
resnet50,10,8,80.02031277,39,11.66963826,0.170731867,,mobilenet,50,8,5.905892677,500,0.376066436,0.068006917,,9161675,24892654,34054329,0.269031141,33122957,20843324,53966281,25190489,12416375,37606864,,0.078,,117457371.8,319136589.7,436593961.5,3.449117197,424653294.9,267222102.6,691875397.4,322954987.2,159184294.9,482139282.1
resnet50,10,8,88.31021949,56,19.95954498,0.292016796,,mobilenet,50,16,9.496075142,500,0.26764407,0.02900212,,15656851,50932060,66588911,0.235127002,64889056,41092411,105981467,51647160,30740500,82387660,,0.112,,139793312.5,454750535.7,594543848.2,2.099348231,579366571.4,366896526.8,946263098.2,461135357.1,274468750,735604107.1
resnet50,10,8,91.81876289,99,23.46808838,0.343348307,,mobilenet,50,32,17.75018077,500,0.882647395,0.052328184,,19881558,104563740,124445298,0.159761424,121276657,80186714,201463371,105646220,70891089,176537309,,0.198,,100411909.1,528099697,628511606.1,0.806875878,612508368.7,404983404,1017491773,533566767.7,358035803,891602570.7
resnet50,10,8,71.63538411,45,3.284709605,0.048056726,,mobilenet,75,1,6.159333179,500,1.072724526,0.210891893,,2062134,3061084,5123218,0.402507565,4887344,3091566,7978910,3192418,292451,3484869,,0.09,,22912600,34012044.44,56924644.44,4.472306273,54303822.22,34350733.33,88654555.56,35471311.11,3249455.556,38720766.67
resnet50,10,8,83.040697,38,14.69002249,0.214921398,,mobilenet,75,8,6.061790592,500,0.945809156,0.184873454,,9182769,24956776,34139545,0.268977486,33204728,20841871,54046599,25253178,12072906,37326084,,0.076,,120825907.9,328378631.6,449204539.5,3.539177452,436904315.8,274235144.7,711139460.5,332278657.9,158854026.3,491132684.2
resnet50,10,8,101.8854541,41,33.53477962,0.490628364,,mobilenet,75,16,8.036149427,500,0.493100492,0.065371509,,14222880,51621746,65844626,0.216006694,64229599,41074298,105303897,52100352,31230080,83330432,,0.082,,173449756.1,629533487.8,802983243.9,2.634227979,783287792.7,500906073.2,1284193866,635370146.3,380854634.1,1016224780
resnet50,10,8,109.6599412,71,41.30926672,0.604372481,,mobilenet,75,32,15.20706813,500,0.802625604,0.055720699,,19114134,104921854,124035988,0.154101518,120885436,80163295,201048731,105621688,68979798,174601486,,0.142,,134606577.5,738886295.8,873492873.2,1.085221956,851305887.3,564530246.5,1415836134,743814704.2,485773225.4,1229587930
resnet50,10,8,72.41562634,41,4.06495183,0.059472008,,mobilenet,90,1,5.765045694,500,0.768453053,0.153795418,,,0.082,,,,,,,,,,,,,,,,,,,,,
resnet50,10,8,84.84659958,36,16.49592507,0.241342535,,mobilenet,90,8,5.787287483,500,0.751712131,0.149280286,,,0.072,,,,,,,,,,,,,,,,,,,,,
resnet50,10,8,107.4105047,37,39.05983022,0.57146225,,mobilenet,90,16,7.673812877,500,0.617413861,0.087497016,,,0.074,,,,,,,,,,,,,,,,,,,,,
resnet50,10,8,116.6512481,65,48.30057354,0.706658331,,mobilenet,90,32,14.73776472,500,1.092756739,0.080084727,,,0.13,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,origin,,110.6373858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,16,115.2315211,30,4.594135298,0.041524258,,mobilenet,10,1,6.434326273,500,0.666913463,0.115634772,,2021923,2955048,4976971,0.406255733,4742612,3094102,7836714,3526137,650259,4176396,,0.06,,33698716.67,49250800,82949516.67,6.770928878,79043533.33,51568366.67,130611900,58768950,10837650,69606600
resnet50,10,16,114.3941833,91,3.756797516,0.03395595,,mobilenet,10,8,20.31571931,500,0.886331237,0.045618073,,11093898,22776914,33870812,0.327535637,32910564,20874532,53785096,24372805,12992906,37365711,,0.182,,60955483.52,125147879.1,186103362.6,1.79964636,180827274.7,114695230.8,295522505.5,133916511,71389593.41,205306104.4
resnet50,10,16,114.4883824,154,3.850996614,0.034807372,,mobilenet,10,16,34.6300787,500,0.786585197,0.023241844,,18851231,47845660,66696891,0.282640326,65055313,41144094,106199407,50667425,31522588,82190013,,0.308,,61205295.45,155343051.9,216548347.4,0.917663395,211218548.7,133584720.8,344803269.5,164504626.6,102346064.9,266850691.6
