model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,1,14453.707984924316,500,28.907415969848632
densenet201,10,1,14527.619514465332,374,38.84390244509447

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,1,19165.108863830566,500,38.330217727661136
vgg19,10,8,17929.63705444336,100,179.2963705444336

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,1,19275.76792907715,500,38.551535858154296
vgg19,10,16,17859.269958496094,83,215.1719272107963

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,1,19299.38526535034,500,38.59877053070068
vgg19,10,32,16084.658294677734,39,412.42713576096753

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,1,14358.84146308899,500,28.71768292617798
densenet201,10,8,14619.182716369629,116,126.02743721008301

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,8,63008.40131378174,500,126.01680262756348
vgg19,10,8,62043.28337097168,347,178.79908752441406

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,8,63454.97059631348,500,126.90994119262696
vgg19,10,16,62109.79821777344,288,215.6590215894911

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,8,63466.1442565918,500,126.9322885131836
vgg19,10,32,60313.12661743164,146,413.10360696870987

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,1,14533.196905136108,500,29.066393810272217
densenet201,10,16,14943.600601196289,75,199.24800801595052

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,8,89913.54899597168,500,179.82709799194336
densenet201,10,16,91269.5703125,459,198.8443797657952

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,16,99825.8030090332,500,199.65160601806642
vgg19,10,16,98440.57099914551,455,216.3529032948253

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,16,99827.64990234375,500,199.6552998046875
vgg19,10,32,96971.22946166992,234,414.4069635114099

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,1,14548.96738243103,500,29.09793476486206
densenet201,10,32,14808.763916015625,42,352.58961704799106

model name,gpu resource,batchsize,total latency,real exec times,avg latency
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,16,107063.74783325195,500,214.1274956665039
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,32,205171.11520385742,500,410.34223040771485
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,5566.936997413635,500,11.13387399482727
densenet201,10,1,5610.438232421875,137,40.952103886291056

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,1,20006.689834594727,500,40.013379669189455
vgg19,25,8,19852.490364074707,290,68.45686332439554

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,1,20370.789375305176,500,40.74157875061035
vgg19,25,16,20083.532958984375,242,82.98980561563792

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,1,20409.571548461914,500,40.81914309692383
vgg19,25,32,19390.297149658203,122,158.93686188244428

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,5606.030586242676,500,11.21206117248535
densenet201,10,8,5751.493453979492,43,133.7556617204533

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,8,34433.324714660645,500,68.86664942932128
densenet201,10,8,34855.391998291016,267,130.544539319442

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,16,41833.70693206787,500,83.66741386413574
densenet201,10,8,42395.42088317871,319,132.90100590338153

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,8,66449.57688903809,500,132.89915377807617
vgg19,25,32,65491.154693603516,409,160.1250726004976

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,5629.959363937378,500,11.259918727874755
densenet201,10,16,5855.856185913086,28,209.13772092546736

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,8,34546.89805603027,500,69.09379611206055
densenet201,10,16,35192.22116088867,172,204.60593698191087

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,16,42120.92268371582,500,84.24184536743164
densenet201,10,16,42890.08076477051,206,208.20427555713837

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,32,80735.93434143066,500,161.47186868286133
densenet201,10,16,81992.27185058594,393,208.6317349887683

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,5652.657537460327,500,11.305315074920655
densenet201,10,32,5907.897644042969,16,369.24360275268555

model name,gpu resource,batchsize,total latency,real exec times,avg latency
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,16,41062.46964263916,500,82.12493928527832
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,32,78794.50144958496,500,157.5890028991699
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,1,3197.007872104645,500,6.394015744209289
densenet201,10,1,3257.8239097595215,68,47.909175143522376

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,8,18407.345977783203,500,36.8146919555664
densenet201,10,1,18484.78147125244,399,46.327773110908375

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,16,23426.499282836914,500,46.85299856567383
densenet201,10,1,23554.223384857178,475,49.58783870496248

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,1,24939.23713684082,500,49.87847427368164
vgg19,50,32,24608.399337768555,275,89.48508850097656

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,1,3252.988928794861,500,6.505977857589722
densenet201,10,8,3432.805908203125,22,156.03663219105113

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,8,18718.936950683594,500,37.43787390136719
densenet201,10,8,19002.567153930664,126,150.81402503119574

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,16,23923.86891555786,500,47.84773783111572
densenet201,10,8,24278.773544311523,150,161.85849029541015

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,32,45710.179191589355,500,91.42035838317871
densenet201,10,8,46375.12365722656,284,163.29268893389636

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,1,3265.6411514282227,500,6.531282302856446
densenet201,10,16,3378.715118408203,14,241.33679417201452

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,8,18908.780445098877,500,37.817560890197754
densenet201,10,16,19278.164627075195,82,235.09956862286825

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,16,24188.237411499023,500,48.37647482299805
densenet201,10,16,24638.752563476562,98,251.4158424844547

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,32,46145.87794494629,500,92.29175588989258
densenet201,10,16,47023.20545959473,186,252.81293257846627

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,1,3287.482880115509,500,6.574965760231018
densenet201,10,32,3416.603515625,8,427.075439453125

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,8,18054.4647026062,500,36.1089294052124
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,16,23005.850337982178,500,46.011700675964356
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,32,43937.84663391113,500,87.87569326782227
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,75,1,2667.4719038009644,500,5.334943807601928
densenet201,10,1,2720.981433868408,51,53.35257713467467

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,75,8,14531.605253219604,500,29.06321050643921
densenet201,10,1,14604.355159759521,275,53.10674603548917

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,75,16,19277.733753204346,500,38.55546750640869
densenet201,10,1,19401.15781021118,322,60.252042888854604

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,1,30409.806507110596,500,60.81961301422119
vgg19,75,32,30218.737449645996,412,73.3464501205

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,75,1,2730.9152965545654,500,5.461830593109131
densenet201,10,8,2810.1168060302734,16,175.6323003768921

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,75,8,14757.877098083496,500,29.51575419616699
densenet201,10,8,15115.31689453125,88,171.76496471058238

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,75,16,19649.01323699951,500,39.29802647399902
densenet201,10,8,19954.630004882812,102,195.6336274988511

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,75,32,37319.148834228516,500,74.63829766845703
densenet201,10,8,37843.04783630371,191,198.1311405042079

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,75,1,2741.054846763611,500,5.482109693527222
densenet201,10,16,2929.14208984375,11,266.28564453125

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,75,8,14861.100967407227,500,29.722201934814453
densenet201,10,16,15153.120346069336,57,265.84421659770766

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,75,16,19845.428100585938,500,39.690856201171876
densenet201,10,16,20226.76318359375,67,301.8919878148321

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,75,32,37712.00439453125,500,75.4240087890625
densenet201,10,16,38332.54055786133,126,304.22651236397877

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,75,1,2743.1254143714905,500,5.486250828742981
densenet201,10,32,2841.0381469726562,6,473.50635782877606

model name,gpu resource,batchsize,total latency,real exec times,avg latency
model name,gpu resource,batchsize,total latency,real exec times,avg latency
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,75,32,35999.14629364014,500,71.99829258728028
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,90,1,2530.31090593338,500,5.06062181186676
densenet201,10,1,2604.8504028320312,47,55.422348996426194

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,90,8,13074.150999069214,500,26.14830199813843
densenet201,10,1,13187.064464569092,231,57.08685915397875

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,90,16,17782.96173095703,500,35.56592346191406
densenet201,10,1,17912.505340576172,267,67.08803498343136

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,1,33519.8349609375,500,67.039669921875
vgg19,90,32,33376.96447753906,492,67.83935869418508

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,90,1,2585.4943742752075,500,5.170988748550415
densenet201,10,8,2713.4295043945312,15,180.89530029296876

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,90,8,13312.200847625732,500,26.624401695251464
densenet201,10,8,13570.085235595703,73,185.89157856980415

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,90,16,18142.83104324341,500,36.285662086486816
densenet201,10,8,18536.9354095459,85,218.08159305348116

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,90,32,34534.43793487549,500,69.06887586975098
densenet201,10,8,35162.11087036133,160,219.7631929397583

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,90,1,2582.5405507087708,500,5.165081101417542
densenet201,10,16,2759.169967651367,10,275.91699676513673

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,90,8,13400.24256515503,500,26.800485130310058
densenet201,10,16,13753.585662841797,48,286.5330346425374

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,90,16,18311.632511138916,500,36.623265022277835
densenet201,10,16,18763.478927612305,56,335.06212370736256

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,90,32,34828.14874267578,500,69.65629748535156
densenet201,10,16,35506.53845214844,105,338.15750906808034

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,90,1,2600.9679021835327,500,5.201935804367065
densenet201,10,32,2894.1490478515625,6,482.35817464192706

model name,gpu resource,batchsize,total latency,real exec times,avg latency
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,90,16,17512.352306365967,500,35.02470461273193
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,90,32,33305.78569793701,500,66.61157139587402
model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,1,12495.438486099243,500,24.990876972198485
vgg19,10,1,12561.229043960571,427,29.41739822941586

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,1,14332.425546646118,500,28.664851093292235
vgg19,10,8,13115.945922851562,73,179.670492093857

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,1,12831.910026550293,500,25.663820053100586
vgg19,10,16,11432.206985473633,53,215.70201859384213

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,1,13040.980863571167,500,26.081961727142335
vgg19,10,32,9917.362182617188,24,413.2234242757161

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,1,14860.774698257446,500,29.72154939651489
densenet201,25,8,14935.8579788208,288,51.86061798201667

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,8,25743.139514923096,500,51.486279029846195
vgg19,10,8,24662.894149780273,135,182.6881048131872

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,8,25858.703716278076,500,51.71740743255615
vgg19,10,16,24534.167709350586,112,219.05506883348738

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,8,25896.712047576904,500,51.79342409515381
vgg19,10,32,22679.728485107422,54,419.99497194643374

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,1,15011.669059753418,500,30.023338119506835
densenet201,25,16,15224.162734985352,177,86.01221884172514

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,16,42661.10828399658,500,85.32221656799317
vgg19,10,8,41487.419677734375,225,184.38853190104166

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,16,42945.97730255127,500,85.89195460510254
vgg19,10,16,41513.39279174805,187,221.99675289704837

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,16,43013.5046081543,500,86.0270092163086
vgg19,10,32,40055.0905456543,94,426.1179845282372

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,1,15255.124393463135,500,30.51024878692627
densenet201,25,32,15560.730560302734,105,148.1974339076451

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,8,88918.10986328125,500,177.8362197265625
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,16,107054.6273651123,500,214.10925473022462
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,32,203618.00994873047,500,407.23601989746095
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,5599.389991760254,500,11.198779983520508
densenet201,25,1,5601.069513320923,215,26.05148610846941

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,1,12821.89040184021,500,25.64378080368042
vgg19,25,8,12598.3984375,183,68.84370730874316

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,1,14071.038452148438,500,28.142076904296875
vgg19,25,16,13674.264961242676,164,83.37966439782119

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,1,13784.489084243774,500,27.56897816848755
vgg19,25,32,12766.923751831055,80,159.58654689788818

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,5823.813420295715,500,11.64762684059143
densenet201,25,8,5951.4126052856445,106,56.145401936657024

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,8,27124.650272369385,500,54.24930054473877
vgg19,25,8,26889.07315826416,380,70.76071883753727

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,8,27885.33759689331,500,55.77067519378662
vgg19,25,16,27605.23769378662,318,86.80892356536673

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,8,27919.933658599854,500,55.839867317199705
vgg19,25,32,26919.312744140625,162,166.16859718605323

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,5950.147389411926,500,11.900294778823852
densenet201,25,16,6135.107391357422,66,92.95617259632458

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,8,36164.961822509766,500,72.32992364501953
densenet201,25,16,36459.51183319092,404,90.2463164187894

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,16,44484.42903137207,500,88.96885806274415
densenet201,25,16,44917.02082824707,485,92.61241407885994

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,16,46326.77785491943,500,92.65355570983887
vgg19,25,32,45274.27882385254,266,170.20405572876894

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,6087.630916595459,500,12.175261833190918
densenet201,25,32,6283.434814453125,39,161.11371319110577

model name,gpu resource,batchsize,total latency,real exec times,avg latency
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,16,41104.99045562744,500,82.20998091125489
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,32,78788.00975036621,500,157.57601950073243
model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,1,3222.6422686576843,500,6.445284537315368
densenet201,25,1,3252.9677753448486,110,29.572434321316805

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,1,14383.449417114258,500,28.766898834228517
vgg19,50,8,14406.81713104248,387,37.22691765127256

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,1,15428.560340881348,500,30.857120681762694
vgg19,50,16,15412.8244972229,326,47.27860275221749

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,1,14994.732524871826,500,29.989465049743654
vgg19,50,32,14554.099319458008,161,90.39813241899384

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,1,3441.1414732933044,500,6.882282946586609
densenet201,25,8,3489.7621002197266,52,67.11080961961012

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,8,19670.11169052124,500,39.34022338104248
densenet201,25,8,19799.959266662598,307,64.49498132463387

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,16,25148.808727264404,500,50.29761745452881
densenet201,25,8,25340.688766479492,364,69.61727683098762

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,25,8,35019.7414855957,500,70.0394829711914
vgg19,50,32,34604.64005279541,361,95.85772867810363

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,1,3518.968734264374,500,7.037937468528748
densenet201,25,16,3596.687614440918,33,108.9905337709369

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,8,20106.58818435669,500,40.21317636871338
densenet201,25,16,20333.094284057617,192,105.90153272946675

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,16,25836.123710632324,500,51.67224742126465
densenet201,25,16,26136.60124206543,229,114.13362987801497

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,32,49169.972915649414,500,98.33994583129883
