,,,,,,,,,,,,,,,,,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,,,,,,,,,,,,,,,
densenet201,origin,,36.48511772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
densenet201,10,1,38.84390245,374,2.358784725,0.0647,,vgg19,10,1,28.90741597,500,1.44825827,0.0527,0.748,0.752612556,37387583,46526792,83914375,0.445544437,82085524,10681245,92766769,48848910,8061323,56910233,,0.748,,49983399.73,62201593.58,112184993.3,0.595647644,109740005.3,14279739.3,124019744.7,65306029.41,10777169.79,76083199.2,198876567.8,
densenet201,10,1,38.33021773,500,1.845100008,0.0506,,vgg19,10,8,179.2963705,100,6.368015244,0.0368,5,4.739695691,188278242,156733336,345011578,0.545715721,335344902,97694348,433039250,170199768,91653849,261853617,,5,,37655648.4,31346667.2,69002315.6,0.109143144,67068980.4,19538869.6,86607850,34039953.6,18330769.8,52370723.4,,
densenet201,10,1,38.55153586,500,2.066418138,0.0566,,vgg19,10,16,215.1719272,83,6.225952011,0.0298,6.024096386,5.726882308,208898365,205527704,414426069,0.504066661,399110031,180186123,579296154,221763990,173204529,394968519,,6.024096386,,34677128.59,34117598.86,68794727.45,0.083675066,66252265.15,29910896.42,96163161.56,36812822.34,28751951.81,65564774.15,,
densenet201,10,1,38.59877053,500,2.113652811,0.0579,,vgg19,10,32,412.4271358,39,16.71147506,0.0422,12.82051282,10.84594721,391207267,411481554,802688821,0.487371017,775136976,350363849,1125500825,443584308,342512658,786096966,,12.82051282,,30514166.83,32095561.21,62609728.04,0.038014939,60460684.13,27328380.22,87789064.35,34599576.02,26715987.32,61315563.35,,
densenet201,10,1,40.95210389,137,4.466986166,0.1224,,vgg19,25,1,11.13387399,500,0.485436845,0.0456,0.274,0.291857004,37250499,46388936,83639435,0.445370046,81976780,10680776,92657556,47238505,8568473,55806978,,0.274,,135950726.3,169302686.1,305253412.4,1.625438124,299185328.5,38980934.31,338166262.8,172403302.9,31271799.27,203675102.2,,
densenet201,10,1,40.01337967,500,3.528261949,0.0967,,vgg19,25,8,68.45686332,290,1.697282334,0.0254,1.724137931,1.829775677,213072010,157255434,370327444,0.575361112,360713312,97729549,458442861,162493998,92326125,254820123,,1.724137931,,123581765.8,91208151.72,214789917.5,0.333709445,209213721,56683138.42,265896859.4,94246518.84,53549152.5,147795671.3,,
densenet201,10,1,40.74157875,500,4.256461031,0.1167,,vgg19,25,16,82.98980562,242,1.741227966,0.0214,2.066115702,2.22689641,234274095,206555530,440829625,0.531439091,425715259,180299365,606014624,213214860,173246477,386461337,,2.066115702,,113388662,99972876.52,213361538.5,0.25721652,206046185.4,87264892.66,293311078,103195992.2,83851294.87,187047287.1,,
densenet201,10,1,40.8191431,500,4.334025377,0.1188,,vgg19,25,32,158.9368619,122,2.948180382,0.0189,4.098360656,4.275405734,391513634,412384078,803897712,0.487019217,776227951,350432906,1126660857,425121517,342057003,767178520,,4.098360656,,95529326.7,100621715,196151041.7,0.118832689,189399620,85505629.06,274905249.1,103729650.1,83461908.73,187191558.9,,
densenet201,10,1,47.90917514,68,11.42405742,0.3131,,vgg19,50,1,6.394015744,500,0.271476853,0.0443,0.136,0.167809213,45933296,37415646,83348942,0.551096329,81750879,10678800,92429679,38032100,7329013,45361113,,0.136,,337744823.5,275115044.1,612859867.6,4.052178893,601109404.4,78520588.24,679629992.6,279647794.1,53889801.47,333537595.6,,
