ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [usecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[3364] python3.8,"   99,    1,    1","  128,    1,    1","3,109",2.82,536.74,0.84,"30,624",1.10,128,99,3.95,0,0,0.08,28.40,0,733,"1,279",0,"2,498","3,369",153,0,0,161,626,0.35,1.34,161,626
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[3364] python3.8,"   98,    1,    1","  128,    1,    1","83,012",62.94,"38,700.87",2.03,"5,330,024",1.31,128,98,34.43,6.61,105.05,3.21,51.02,"126,350","25,088","152,939","205,563","100,352","286,218","23,746","184,710","22,346","24,114","11,760",1.95,0.95,"24,114","11,760"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[3364] python3.8,"    1,    1,    1","   64,    1,    1","3,128",2.91,19.66,0.05,65,1.07,64,1,0.01,0.00,0.01,0.00,0.01,1,1,378,1,1,445,166,0,2,94,0,0.20,0,94,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[3364] python3.8,"   64,    1,    1","  512,    1,    1","103,100",84.99,"47,164.97",0.29,"922,880",1.21,512,64,3.52,6.37,74.94,3.22,37.88,"49,940","25,344","77,357","198,992","100,608","185,838","145,007","84,316","115,136","123,405","94,115",8.02,6.11,"123,405","94,115"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[3364] python3.8," 3136,    1,    1","   64,    1,    1","12,101",11.78,"4,836.01",0.53,"175,616",1.02,64,"3,136",6.13,3.21,272.70,3.21,272.70,"25,088","25,088","51,347","100,352","100,352","101,663","100,356",0,"100,352","100,372","11,339",55.38,6.26,"100,372","11,339"
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[3364] python3.8,"  784,    1,    1","  256,    1,    1","24,109",19.39,"10,746.18",2.40,"1,752,320",1.24,256,784,26.97,3.58,184.42,2.41,124.20,"40,283","18,816","60,547","111,661","75,264","96,108","100,843","16,769","100,352","101,787",206,28.26,0.06,"101,787",206
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[3364] python3.8,"    1,    1,    1","   64,    1,    1","3,167",2.82,19.82,0.05,65,1.12,64,1,0.01,0.00,0.01,0.00,0.01,1,1,153,1,1,429,6,0,2,126,0,0.26,0,126,0
7,bn_fw_tr_1C11_singleread,"void cudnn::detail::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::detail::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[3364] python3.8,"   64,    1,    1","  512,    1,    1","10,206",9.09,"4,044.74",1.70,"468,288",1.12,512,64,17.47,0.81,89.24,0.81,89.24,"6,528","6,528","14,151","25,344","25,344","29,920","26,036",240,"25,120","26,664",0,17.51,0,"26,664",0
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[3364] python3.8,"  784,    1,    1","   64,    1,    1","5,878",4.48,"1,593.21",0.41,"43,904",1.31,64,784,3.15,0.80,179.20,0.80,179.20,"6,272","6,272","13,360","25,088","25,088","26,305","25,140",0,"25,088","25,228","8,523",28.81,9.73,"25,228","8,523"
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[3364] python3.8,"   25,    1,    1","  128,    1,    1","2,909",3.71,391.78,0.29,"7,680",0.78,128,25,1.06,0,0,0.02,5.30,0,174,466,0,619,"2,733",137,0,0,33,0,0.08,0,33,0
