ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[24412] python3.8,"   99,    1,    1","  128,    1,    1","4,198",0.00,533.81,0.84,"30,624",1.51,128,99,2.92,0,0,0.08,28.69,0,730,"1,274",0,"2,498","3,381",57,0,0,89,0,0.14,0,89,0
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[24412] python3.8,"  784,    1,    1","  128,    1,    1","551,567",0.40,"264,592.79",2.37,"42,640,192",1.36,128,784,41.35,68.40,169.12,25.69,63.52,"1,225,890","200,704","1,435,892","2,134,865","802,816","2,788,578","173,462","1,987,255","154,358","157,627","714,695",1.91,8.68,"157,627","714,695"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[24412] python3.8,"    1,    1,    1","   64,    1,    1","3,177",0.00,18.65,0.05,65,0.87,64,1,0.01,0.00,0.01,0.00,0.01,1,1,272,1,1,438,254,0,2,126,0,0.26,0,126,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[24412] python3.8,"   64,    1,    1","  512,    1,    1","211,565",0.16,"101,559.49",0.84,"5,830,272",1.33,512,64,11.50,51.39,322.73,25.70,161.39,"401,664","200,960","603,701","1,605,888","803,072","805,022","1,609,650",240,"1,605,664","1,611,594","721,051",51.03,22.83,"1,611,594","721,051"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[24412] python3.8,"25088,    1,    1","   64,    1,    1","123,768",0.09,"60,612.90",0.34,"1,404,928",1.32,64,"25,088",4.77,25.69,273.16,25.69,273.16,"200,704","200,704","402,680","802,816","802,816","804,476","803,070",0,"802,816","802,854","713,886",43.45,38.63,"802,854","713,886"
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[24412] python3.8," 6272,    1,    1","  256,    1,    1","181,768",0.14,"89,467.63",2.30,"14,018,560",1.34,256,"6,272",28.40,28.80,212.00,19.27,141.81,"324,087","150,528","475,794","900,703","602,112","744,794","808,411","139,984","802,816","807,115","520,957",29.74,19.20,"807,115","520,957"
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[24412] python3.8,"    1,    1,    1","   64,    1,    1","3,162",0.00,19.90,0.05,65,1.11,64,1,0.01,0.00,0.01,0.00,0.01,1,1,178,1,1,986,470,0,2,6,0,0.01,0,6,0
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[24412] python3.8,"   64,    1,    1","  512,    1,    1","60,056",0.04,"24,759.49",0.98,"1,653,888",1.38,512,64,11.02,12.85,295.97,6.43,148.09,"100,597","50,432","154,071","401,620","200,960","205,163","400,226","2,260","399,212","399,596","116,863",44.61,13.05,"399,596","116,863"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[24412] python3.8," 6272,    1,    1","   64,    1,    1","34,934",0.02,"12,478.07",0.41,"351,232",1.48,64,"6,272",4.23,6.42,272.70,6.42,272.70,"50,176","50,176","101,390","200,704","200,704","202,055","202,180",0,"200,704","202,932","183,947",38.93,35.29,"202,932","183,947"
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[24412] python3.8,"   25,    1,    1","  128,    1,    1","3,012",0.00,357.24,0.32,"7,680",1.13,128,25,1.02,0,0,0.02,7.41,0,174,436,0,615,"1,233",89,0,0,257,0,0.58,0,257,0
