ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[14187] python3.8,"   99,    1,    1","  128,    1,    1","3,346",0.00,313.60,1.44,"30,624",1.12,128,99,3.63,0,0,0.08,26.67,0,714,"1,117",0,"2,480","3,218","1,021",0,0,185,657,0.37,1.31,185,657
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[14187] python3.8," 1568,    1,    1","   64,    1,    1","355,079",0.26,"82,474.01",2.10,"11,785,088",1.35,64,"1,568",13.10,17.96,68.24,25.69,97.59,"182,466","200,704","392,681","571,401","802,816","1,068,719","308,190","269,251","303,518","308,950","714,742",5.83,13.48,"308,950","714,742"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[14187] python3.8,"    1,    1,    1","   64,    1,    1","5,302",0.00,18.40,0.05,65,1.88,64,1,0.00,0.00,0.01,0.00,0.01,1,1,181,1,1,446,6,0,2,118,0,0.15,0,118,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[14187] python3.8,"   32,    1,    1","  512,    1,    1","235,841",0.18,"54,053.87",1.56,"5,719,360",1.31,512,32,10.20,51.38,287.36,25.69,143.69,"401,536","200,832","606,470","1,605,760","802,944","804,411","1,620,202",120,"1,605,648","1,606,778","721,436",45.64,20.49,"1,606,778","721,436"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[14187] python3.8,"25088,    1,    1","   64,    1,    1","153,110",0.11,"35,451.65",0.67,"1,605,632",1.33,64,"25,088",4.83,25.69,224.44,25.69,224.44,"200,704","200,704","403,757","802,816","802,816","804,643","808,888",0,"802,816","804,544","713,866",35.19,31.23,"804,544","713,866"
5,spatialDepthwiseConvolutionUpdateOutput,"void spatialDepthwiseConvolutionUpdateOutput<float, float, unsigned int, (int)3>(THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)1, int, DefaultPtrTraits>, bool, T3, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",[14187] python3.8," 6272,    1,    1"," 1024,    1,    1","1,295,495",0.95,"284,355.06",2.07,"39,940,096",1.36,"1,024","6,272",11.35,31.82,33.36,25.69,26.93,"469,325","200,704","700,146","994,400","802,816","1,080,062","870,483","274,658","802,852","1,008,547","721,631",5.21,3.73,"1,008,547","721,631"
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[14187] python3.8,"    1,    1,    1","   64,    1,    1","3,123",0.00,18.46,0.05,65,0.82,64,1,0.01,0.00,0.01,0.00,0.01,1,1,664,1,1,"1,002",222,0,2,60,0,0.13,0,60,0
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[14187] python3.8,"   32,    1,    1","  512,    1,    1","234,923",0.18,"53,738.04",1.57,"5,719,360",1.32,512,32,10.25,51.38,289.01,25.69,144.52,"401,536","200,832","615,105","1,605,760","802,944","806,934","1,611,102",120,"1,605,648","1,614,520","721,428",46.04,20.57,"1,614,520","721,428"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[14187] python3.8,"25088,    1,    1","   64,    1,    1","153,835",0.12,"35,333.16",0.67,"1,605,632",1.32,64,"25,088",4.81,25.69,221.83,25.69,221.83,"200,704","200,704","406,334","802,816","802,816","804,287","803,374",0,"802,816","803,300","713,866",34.98,31.09,"803,300","713,866"
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[14187] python3.8,"   99,    1,    1","  128,    1,    1","3,330",0.00,314.69,1.43,"30,624",1.13,128,99,3.65,0,0,0.08,26.92,0,712,"1,138",0,"2,477","3,214",81,0,0,57,0,0.11,0,57,0
