ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [usecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[29628] python3.8,"   99,    1,    1","  128,    1,    1","3,061",2.78,"1,017.21",0.44,"30,624",1.10,128,99,4.03,0,0,0.08,29.59,0,807,"1,342",0,"2,574","3,462",17,0,0,11,0,0.02,0,11,0
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[29628] python3.8," 3136,    1,    1","   64,    1,    1","228,020",171.17,"217,274.76",1.60,"23,570,176",1.32,64,"3,136",41.21,34.49,201.52,51.38,300.17,"334,403","401,408","752,068","1,087,087","1,605,632","2,082,888","622,050","477,892","614,436","615,226","1,502,766",17.95,43.83,"615,226","1,502,766"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[29628] python3.8,"    1,    1,    1","   64,    1,    1","3,151",4.03,20.24,0.05,65,0.78,64,1,0.01,0.00,0.01,0.00,0.01,1,1,348,1,1,454,166,0,2,150,0,0.32,0,150,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[29628] python3.8,"   32,    1,    1","  512,    1,    1","429,201",317.41,"196,313.12",0.85,"11,317,056",1.35,512,32,11.13,102.76,323.76,51.38,161.89,"802,944","401,536","1,215,737","3,211,392","1,605,760","1,608,331","3,225,634",120,"3,211,280","3,231,805","1,524,967",50.44,23.80,"3,231,805","1,524,967"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29628] python3.8,"50176,    1,    1","   64,    1,    1","259,098",188.42,"246,597.94",0.19,"3,211,264",1.37,64,"50,176",5.71,51.38,272.70,51.38,272.70,"401,408","401,408","809,111","1,605,632","1,605,632","1,607,715","1,614,966",0,"1,605,632","1,611,478","1,515,782",41.65,39.18,"1,611,478","1,515,782"
5,spatialDepthwiseConvolutionUpdateOutput,"void spatialDepthwiseConvolutionUpdateOutput<float, float, unsigned int, (int)3>(THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)1, int, DefaultPtrTraits>, bool, T3, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",[29628] python3.8,"12544,    1,    1"," 1024,    1,    1","638,353",469.38,"594,108.22",1.98,"79,880,192",1.35,"1,024","12,544",46.33,63.70,135.72,51.38,109.46,"938,894","401,408","1,381,685","1,990,598","1,605,632","2,149,331","1,630,331","539,987","1,605,668","1,630,209","1,521,042",17.10,15.95,"1,630,209","1,521,042"
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[29628] python3.8,"    1,    1,    1","   64,    1,    1","3,155",3.81,19.96,0.05,65,0.83,64,1,0.01,0.00,0.01,0.00,0.01,1,1,392,1,1,460,6,0,2,6,0,0.01,0,6,0
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[29628] python3.8,"   32,    1,    1","  512,    1,    1","427,689",316.74,"199,538.60",0.83,"11,317,056",1.35,512,32,11.17,102.76,324.45,51.38,162.23,"802,944","401,536","1,216,917","3,211,392","1,605,760","1,608,379","3,235,738",120,"3,211,280","3,231,002","1,524,577",50.60,23.88,"3,231,002","1,524,577"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29628] python3.8,"50176,    1,    1","   64,    1,    1","258,518",190.72,"246,390.88",0.19,"3,211,264",1.35,64,"50,176",5.72,51.38,269.40,51.38,269.40,"401,408","401,408","808,915","1,605,632","1,605,632","1,607,702","1,627,500",0,"1,605,632","1,616,958","1,515,891",41.90,39.28,"1,616,958","1,515,891"
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[29628] python3.8,"   99,    1,    1","  128,    1,    1","4,984",2.78,990.69,0.45,"30,624",1.79,128,99,2.47,0,0,0.08,29.56,0,800,"1,374",0,"2,572","3,464",105,0,0,17,0,0.02,0,17,0
