ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[22502] python3.8,"   99,    1,    1","  128,    1,    1","3,366",0,319.69,1.41,"30,624",0.8,128,99,3.61,0,0,0.08,18.78,0,697,"1,241",0,"2,480","3,230",9,0,0,93,0,0.18,0,93,0
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[22502] python3.8," 1568,    1,    1","  128,    1,    1","2,209,653",1.62,"518,503.94",2.42,"85,280,384",1.36,128,"1,568",20.62,141.45,87.12,51.38,31.65,"2,514,823","401,408","2,962,771","4,421,434","1,605,632","5,733,864","394,538","4,130,338","304,714","361,590","1,518,870",1.1,4.6,"361,590","1,518,870"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[22502] python3.8,"    1,    1,    1","   64,    1,    1","3,292",0,19.18,0.05,65,0.86,64,1,0.01,0,0.01,0,0.01,1,1,199,1,1,446,6,0,2,6,0,0.01,0,6,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[22502] python3.8,"   64,    1,    1","  512,    1,    1","475,276",0.35,"107,842.24",1.56,"11,438,720",1.34,512,64,10.09,102.77,290.19,51.39,145.11,"803,072","401,664","1,215,358","3,211,520","1,605,888","1,610,051","3,233,360",240,"3,211,296","3,231,084","1,601,668",45.53,22.57,"3,231,084","1,601,668"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[22502] python3.8,"50176,    1,    1","   64,    1,    1","303,648",0.23,"70,707.75",0.58,"2,809,856",1.35,64,"50,176",3.89,51.38,228.2,51.38,228.2,"401,408","401,408","810,755","1,605,632","1,605,632","1,606,937","1,622,862",0,"1,605,632","1,616,228","1,517,337",35.65,33.47,"1,616,228","1,517,337"
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[22502] python3.8,"12544,    1,    1","  256,    1,    1","728,717",0.54,"170,790.04",2.41,"28,037,120",1.36,256,"12,544",14.15,57.66,107.27,38.54,71.69,"648,440","301,056","958,096","1,802,103","1,204,224","1,487,053","1,624,329","281,644","1,605,632","1,628,383","1,127,539",14.97,10.36,"1,628,383","1,127,539"
6,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[22502] python3.8,"   25,    1,    1","  128,    1,    1","3,132",0,246.79,0.46,"7,680",1.15,128,25,0.99,0,0,0.02,7.26,0,176,544,0,617,"1,215",65,0,0,9,0,0.02,0,9,0
7,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[22502] python3.8,"  392,    1,    1","  128,    1,    1","268,869",0.2,"61,669.43",2.31,"9,677,696",1.36,128,392,18.22,18.34,92.71,12.85,64.93,"267,146","100,352","371,854","573,064","401,408","573,841","416,588","170,656","402,312","420,200","390,148",10.47,9.72,"420,200","390,148"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[22502] python3.8,"    1,    1,    1","   64,    1,    1","3,186",0,19.12,0.05,65,1.12,64,1,0.01,0,0.01,0,0.01,1,1,153,1,1,429,6,0,2,6,0,0.01,0,6,0
9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[22502] python3.8,"   64,    1,    1","  512,    1,    1","127,037",0.1,"29,156.35",1.56,"3,085,952",1.27,512,64,9.88,25.7,257.89,12.85,128.99,"200,960","100,608","304,172","803,072","401,664","416,569","789,476","13,644","789,468","791,270","318,102",41.71,16.77,"791,270","318,102"
