ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [usecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[13184] python3.8,"   99,    1,    1","  128,    1,    1","3,341",4.35,312.54,1.44,"30,624",0.77,128,99,3.63,0,0,0.08,18.24,0,705,"1,280",0,"2,480","4,732",121,0,0,27,0,0.05,0,27,0
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[13184] python3.8,"   98,    1,    1","  128,    1,    1","169,882",126.82,"35,286.74",2.22,"5,330,024",1.34,128,98,16.77,7.73,60.94,3.21,25.32,"141,479","25,088","180,511","241,136","100,352","322,782","22,346","219,839","22,346","29,842","14,004",1.18,0.55,"29,842","14,004"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[13184] python3.8,"    1,    1,    1","   64,    1,    1","3,131",3.97,19.60,0.05,65,0.79,64,1,0.01,0.00,0.01,0.00,0.01,1,1,349,1,1,"1,002",390,0,2,102,0,0.22,0,102,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[13184] python3.8,"   64,    1,    1","  512,    1,    1","187,228",138.91,"42,767.59",0.32,"922,880",1.35,512,64,1.94,6.43,46.29,3.22,23.18,"50,400","25,340","80,402","200,928","100,608","203,035","105,309","100,572","100,384","105,853","18,566",3.79,0.66,"105,853","18,566"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[13184] python3.8," 3136,    1,    1","   64,    1,    1","19,499",16.26,"4,111.03",0.63,"175,616",1.20,64,"3,136",3.79,3.21,197.54,3.21,197.54,"25,088","25,088","51,186","100,352","100,352","101,211","100,532",0,"100,352","100,820","11,574",34.64,3.98,"100,820","11,574"
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[13184] python3.8,"  784,    1,    1","  256,    1,    1","46,575",38.08,"10,271.46",2.51,"1,752,320",1.22,256,784,13.85,3.59,94.38,2.41,63.25,"40,540","18,816","59,940","112,356","75,264","94,061","101,507","17,458","100,352","100,987",17,14.37,0.00,"100,987",17
6,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",[13184] python3.8,"   98,    2,    1","    8,    8,    1","39,966",30.88,"8,208.79",1.74,"972,552",1.29,64,196,9.87,2.03,65.66,3.21,103.96,"25,793","25,088","52,008","63,361","100,320","139,615","26,058","38,257","25,600","27,440","24,194",4.60,4.05,"27,440","24,194"
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[13184] python3.8,"    1,    1,    1","   64,    1,    1","3,312",2.85,19.97,0.05,65,1.16,64,1,0.01,0.00,0.01,0.00,0.01,1,1,999,1,1,446,174,0,2,514,12,1.03,0.02,514,12
8,bn_fw_tr_1C11_singleread,"void cudnn::detail::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::detail::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[13184] python3.8,"   64,    1,    1","  512,    1,    1","17,166",13.12,"3,484.97",1.98,"468,288",1.31,512,64,10.24,0.81,61.81,0.81,61.81,"6,528","6,528","17,581","25,344","25,344","26,493","25,122",240,"25,120","29,024",0,11.33,0,"29,024",0
9,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[13184] python3.8,"  784,    1,    1","   64,    1,    1","7,437",7.36,"1,231.88",0.52,"43,904",1.01,64,784,2.48,0.80,109.08,0.80,109.08,"6,272","6,272","13,114","25,088","25,088","27,557","25,268",0,"25,088","25,780",0,23.26,0,"25,780",0
10,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[13184] python3.8,"    2,   16,    1","   32,    4,    1","6,979",4.48,709.26,0.93,"45,056",1.56,128,32,2.43,0.16,36.57,0.26,58.51,"2,248","2,048","4,873","5,120","8,192","10,163","4,866","1,212","4,608","4,980",88,4.77,0.08,"4,980",88
11,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[13184] python3.8,"    2,    7,    4","  256,    1,    1","122,174",90.56,"24,727.60",1.63,"2,742,208",1.35,256,56,12.19,10.96,121.03,0.80,8.87,"110,592","17,024","133,112","342,528","25,088","345,526","35,573","314,624","33,280","37,599",0,2.06,0,"37,599",0
12,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[13184] python3.8,"    1,    1,    1","   64,    1,    1","3,142",2.82,18.79,0.05,65,1.12,64,1,0.01,0.00,0.01,0.00,0.01,1,1,381,1,1,"1,002",222,0,2,132,0,0.28,0,132,0
13,bn_fw_tr_1C11_singleread,"void cudnn::detail::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::detail::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[13184] python3.8,"   64,    1,    1","  512,    1,    1","16,833",14.59,"3,457.04",1.99,"468,288",1.15,512,64,10.44,0.81,55.58,0.81,55.58,"6,528","6,528","13,708","25,344","25,344","26,573","25,538",240,"25,120","25,426",0,10.09,0,"25,426",0
