ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[12570] python3.8,"  393,    1,    1","  128,    1,    1","8,769",0.01,596.28,3.02,"122,352",1.26,128,393,5.18,0,0,0.34,48.48,0,"3,438","3,736",0,"10,602","11,622",1,0,0,567,0,0.43,0,567,0
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[12570] python3.8,"  392,    2,    1","   64,    1,    1","440,564",0.32,"38,575.74",2.25,"5,892,544",1.36,64,784,5.27,5.26,16.21,12.85,39.57,"62,463","100,352","165,885","161,208","401,408","515,717","68,726","109,054","56,192","72,185","313,682",1.10,4.77,"72,185","313,682"
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[12570] python3.8,"12544,    1,    1","   64,    1,    1","379,189",0.28,"33,268.15",2.68,"6,071,296",1.35,64,"12,544",5.89,12.85,45.93,12.85,45.92,"100,400","100,352","206,797","401,456","401,408","407,336","413,748",44,"401,416","411,344","312,551",7.27,5.52,"411,344","312,551"
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[12570] python3.8,"12544,    1,    1","   64,    1,    1","189,597",0.14,"16,765.81",0.62,"702,464",1.32,64,"12,544",1.56,12.85,89.20,12.85,89.20,"100,352","100,352","204,590","401,408","401,408","402,696","405,974",0,"401,408","404,194","312,520",14.28,11.04,"404,194","312,520"
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[12570] python3.8,"    2,   16,    1","   32,    4,    1","8,229",0.01,509.96,1.30,"45,056",1.25,128,32,2.06,0.17,25.18,0.26,39.96,"3,138","2,048","5,519","5,147","8,192","10,416","4,616","1,572","4,608","6,722",0,5.47,0,"6,722",0
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[12570] python3.8,"    2,   28,   14","  256,    1,    1","4,046,691",2.97,"353,167.54",1.60,"38,390,912",1.36,256,784,5.15,164.25,55.28,12.85,4.32,"1,728,000","200,704","1,976,142","5,132,800","401,408","5,050,169","827,005","4,641,018","764,458","1,008,681","351,151",1.67,0.58,"1,008,681","351,151"
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[12570] python3.8,"12544,    1,    1","   64,    1,    1","378,970",0.28,"33,273.35",2.68,"6,071,296",1.36,64,"12,544",5.89,12.85,46.04,12.85,46.03,"100,400","100,352","213,282","401,456","401,408","402,970","430,664",44,"401,416","429,498","391,441",7.59,6.92,"429,498","391,441"
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[12570] python3.8,"12544,    1,    1","   64,    1,    1","190,629",0.14,"16,451.88",0.63,"702,464",1.35,64,"12,544",1.55,12.85,90.98,12.85,90.98,"100,352","100,352","207,401","401,408","401,408","402,750","408,676",0,"401,408","407,166","312,739",14.30,10.99,"407,166","312,739"
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[12570] python3.8," 3136,    1,    1","  256,    1,    1","364,407",0.27,"31,821.69",2.40,"5,193,216",1.35,256,"3,136",5.24,13.44,49.88,9.63,35.76,"104,741","75,264","184,858","418,964","301,056","319,695","432,937","16,072","401,408","412,019","299,474",7.57,5.50,"412,019","299,474"
9,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[12570] python3.8,"    4,   16,    1","   32,    4,    1","12,102",0.01,868.62,1.53,"90,112",1.18,128,64,2.80,0.34,32.84,0.52,51.20,"7,333","4,096","11,868","10,486","16,384","20,968","9,244","4,202","9,216","9,808",0,5.44,0,"9,808",0
