ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Gbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[22861] python3.8,"  393,    1,    1","  128,    1,    1","3,459",0.00,"1,299.88",1.38,"122,352",1.14,128,393,14.00,0,0,0.33,108.53,0,"3,062","3,992",0,"10,296","11,404",57,0,0,17,0,0.03,0,17,0
1,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[22861] python3.8,"12544,    1,    1","  128,    1,    1","1,224,744",1.00,"1,342,699.34",2.09,"191,070,208",1.21,128,"12,544",66.86,0.12,123.51,411.04,410.87,"1,668,570","3,211,264","4,930,102","3,794,704","12,845,056","15,906,017","958,596","3,003,447","903,338","976,258","12,754,275",5.34,69.70,"976,258","12,754,275"
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[22861] python3.8,"401408,    1,    1","   64,    1,    1","2,063,613",1.51,"2,041,911.56",1.79,"248,872,960",1.36,64,"401,408",44.56,0.41,271.73,411.04,271.38,"3,227,901","3,211,264","6,514,081","12,861,693","12,845,056","12,864,990","12,912,688","16,557","12,845,312","12,935,742","12,831,167",41.98,41.64,"12,935,742","12,831,167"
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[22861] python3.8,"401408,    1,    1","   64,    1,    1","2,074,971",1.51,"2,048,903.66",0.16,"22,478,848",1.37,64,"401,408",4.56,0.41,272.04,411.04,272.04,"3,211,264","3,211,264","6,465,557","12,845,056","12,845,056","12,847,491","12,921,908",0,"12,845,056","12,900,442","12,754,932",41.64,41.17,"12,900,442","12,754,932"
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[22861] python3.8,"    2,   16,    1","   32,    4,    1","4,152",0.00,"1,005.07",0.66,"45,056",1.16,128,32,4.09,0.00,45.71,0.26,73.14,"2,205","2,048","5,497","5,120","8,192","10,846","4,612","1,049","4,608","4,732",0,7.61,0,"4,732",0
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[22861] python3.8,"   64,   28,   14","  256,    1,    1","11,798,325",8.70,"11,649,038.79",1.55,"1,228,509,184",1.35,256,"25,088",56.71,5.26,604.17,411.04,47.25,"55,296,000","6,422,528","61,992,786","164,249,600","12,845,056","147,408,326","44,655,347","134,552,413","44,037,644","44,534,329","12,803,780",25.28,7.27,"44,534,329","12,803,780"
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[22861] python3.8,"401408,    1,    1","   64,    1,    1","2,059,126",1.51,"2,060,942.56",1.78,"248,872,960",1.36,64,"401,408",44.64,0.41,272.14,411.04,271.79,"3,227,856","3,211,264","6,456,787","12,861,648","12,845,056","12,864,324","12,896,190","16,452","12,845,312","12,896,804","12,756,665",41.94,41.48,"12,896,804","12,756,665"
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[22861] python3.8,"401408,    1,    1","   64,    1,    1","2,054,388",1.51,"2,053,399.34",0.16,"22,478,848",1.35,64,"401,408",4.61,0.41,271.65,411.04,271.65,"3,211,264","3,211,264","6,469,748","12,845,056","12,845,056","12,849,598","12,929,828",0,"12,845,056","12,924,708","12,755,553",42.14,41.59,"12,924,708","12,755,553"
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[22861] python3.8,"100352,    1,    1","  256,    1,    1","1,794,289",1.31,"1,779,949.60",1.37,"166,182,912",1.36,256,"100,352",34.20,0.45,343.36,308.28,234.96,"3,515,340","2,408,448","5,963,448","14,061,360","9,633,792","10,857,402","12,944,343","1,226,840","12,845,056","12,974,033","9,548,518",48.42,35.64,"12,974,033","9,548,518"
9,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[22861] python3.8,"   98,   64,    1","  256,    1,    1","1,050,055",0.78,"1,031,345.24",0.45,"31,410,176",1.35,256,"6,272",13.98,0.23,298.05,231.21,298.26,"4,060,993","1,806,336","5,880,112","7,222,329","7,225,344","12,261,818","3,286,919","5,032,400","3,260,942","3,296,259","7,130,551",21.02,45.47,"3,296,259","7,130,551"
